PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
30.129999,33.950001,12.360000,22.770000,1.050000,18.389999,-0.130000,-3.410000,288.269989,95.839996,99895.500000,29.7,116.68,43.042854,PM2.5,9480
31.320000,34.200001,11.460000,20.280001,0.950000,18.549999,0.270000,-2.070000,289.040009,94.360001,99346.742188,29.69,116.84,44.742855,PM2.5,9481
31.070000,35.130001,10.150000,12.990000,0.570000,29.370001,2.170000,2.030000,289.079987,94.839996,95696.546875,29.61,117.61,44.385715,PM2.5,9486
32.029999,37.259998,9.860000,12.090000,0.540000,29.629999,3.270000,2.100000,288.690002,95.949997,94578.976562,29.59,117.77,45.757141,PM2.5,9487
31.530001,37.619999,9.820000,11.050000,0.520000,31.500000,4.260000,2.620000,289.450012,93.129997,95353.476562,29.58,117.92,45.042858,PM2.5,9488
32.099998,38.980000,10.110000,11.480000,0.530000,33.959999,4.920000,3.860000,290.000000,92.239998,95662.523438,29.56,118.08,45.857140,PM2.5,9489
34.240002,43.200001,10.270000,13.200000,0.570000,35.389999,5.070000,4.110000,290.049988,92.690002,95001.953125,29.54,118.23,48.914288,PM2.5,9490
33.020000,43.130001,10.190000,13.740000,0.610000,35.689999,5.450000,3.160000,290.130005,91.510002,94542.140625,29.53,118.39,47.171429,PM2.5,9491
20.520000,25.680000,11.210000,27.379999,1.230000,14.820000,-1.770000,-3.200000,287.040009,96.849998,100941.398438,29.88,116.23,34.224998,NO2,9714
23.299999,29.170000,12.010000,26.760000,1.190000,16.700001,-2.240000,-4.230000,286.700012,97.419998,100802.203125,29.87,116.39,33.450001,NO2,9715
27.180000,30.799999,11.570000,19.690001,0.960000,21.059999,-1.030000,-3.200000,288.149994,95.500000,99053.773438,29.82,116.85,38.828571,PM2.5,9718
29.510000,32.439999,11.250000,17.139999,0.840000,21.590000,0.560000,-1.280000,288.440002,95.459999,97788.812500,29.81,117.01,42.157143,PM2.5,9719
28.320000,31.160000,10.860000,13.680000,0.640000,27.990000,1.990000,1.590000,290.470001,88.900002,99024.781250,29.76,117.48,40.457142,PM2.5,9722
29.030001,32.299999,10.800000,13.260000,0.600000,28.370001,2.260000,2.180000,289.779999,91.330002,97704.976562,29.74,117.63,41.471428,PM2.5,9723
29.750000,33.610001,10.800000,12.980000,0.570000,28.230000,3.310000,2.130000,289.350006,92.089996,96717.539062,29.73,117.79,42.500000,PM2.5,9724
29.930000,34.970001,10.520000,11.580000,0.540000,30.430000,4.660000,1.940000,290.000000,89.019997,97020.367188,29.71,117.94,42.757145,PM2.5,9725
29.639999,36.060001,10.300000,12.030000,0.550000,30.990000,5.400000,3.330000,291.190002,85.660004,97836.062500,29.69,118.1,42.342857,PM2.5,9726
29.950001,38.980000,10.730000,14.560000,0.610000,30.770000,4.820000,3.900000,291.899994,84.660004,98279.468750,29.68,118.25,42.785717,PM2.5,9727
30.500000,40.259998,10.590000,14.560000,0.640000,32.700001,4.180000,2.460000,290.790009,88.279999,96604.976562,29.66,118.41,43.571430,PM2.5,9728
31.719999,40.849998,10.020000,13.000000,0.640000,36.000000,5.280000,1.150000,290.279999,88.750000,95520.578125,29.64,118.56,45.314285,PM2.5,9729
21.020000,25.770000,11.430000,27.250000,1.230000,14.770000,-2.020000,-1.660000,287.589996,94.730003,100814.531250,30.03,116.09,34.062500,NO2,9953
21.620001,27.420000,11.730000,25.959999,1.180000,16.820000,-2.750000,-2.840000,286.820007,97.370003,100823.937500,30.02,116.25,32.449997,NO2,9954
23.110001,27.719999,11.880000,24.410000,1.130000,18.750000,-3.240000,-3.950000,286.809998,96.949997,100990.906250,30.0,116.4,33.014286,PM2.5,9955
24.120001,28.430000,11.850000,22.780001,1.080000,20.370001,-3.710000,-4.460000,287.029999,96.000000,100965.492188,29.99,116.56,34.457146,PM2.5,9956
25.719999,29.410000,11.680000,17.580000,0.910000,23.480000,-0.660000,-2.280000,287.540009,96.839996,97945.757812,29.94,117.03,36.742855,PM2.5,9959
