PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
15.570000,35.130001,5.930000,15.750000,0.350000,134.139999,0.700000,-0.810000,300.899994,30.980000,94934.171875,39.63,115.62,35.130001,PM10,27481
19.240000,46.820000,6.940000,25.129999,0.410000,132.690002,1.170000,-0.460000,302.739990,28.360001,97430.921875,39.61,115.8,46.820000,PM10,27482
22.670000,56.029999,7.570000,34.740002,0.470000,127.639999,1.110000,-0.350000,303.730011,27.660000,99550.546875,39.6,115.97,53.014999,PM10,27483
33.090000,81.639999,9.970000,47.520000,0.630000,112.650002,-0.130000,-0.150000,303.279999,29.650000,99936.671875,39.57,116.32,65.820000,PM10,27485
40.869999,98.660004,12.520000,51.230000,0.740000,112.169998,-0.030000,0.300000,302.929993,31.420000,99950.617188,39.56,116.5,74.330002,PM10,27486
13.430000,26.879999,5.790000,10.840000,0.300000,125.160004,1.700000,-0.740000,299.410004,32.169998,92543.593750,39.77,115.47,26.879999,PM10,27733
15.150000,31.700001,5.660000,13.680000,0.330000,130.979996,1.100000,-0.270000,298.809998,33.740002,91641.000000,39.76,115.64,31.700001,PM10,27734
18.160000,41.360001,6.350000,20.490000,0.380000,133.880005,1.700000,0.410000,300.589996,31.180000,94094.437500,39.75,115.82,41.360001,PM10,27735
19.639999,46.900002,6.540000,29.020000,0.420000,128.009995,1.870000,0.180000,303.200012,27.780001,98152.710938,39.73,115.99,46.900002,PM10,27736
23.770000,59.029999,7.480000,42.840000,0.500000,116.980003,1.190000,-0.630000,303.649994,27.709999,99915.882812,39.72,116.17,54.514999,PM10,27737
30.650000,77.269997,8.990000,48.470001,0.610000,108.669998,0.250000,-0.430000,303.320007,28.740000,99899.257812,39.7,116.34,63.634998,PM10,27738
39.799999,96.919998,11.370000,51.549999,0.740000,105.110001,-0.050000,0.030000,302.929993,31.090000,99913.617188,39.69,116.52,73.459999,PM10,27739
39.520000,92.029999,10.890000,48.560001,0.750000,104.570000,0.090000,0.050000,302.750000,32.320000,100002.843750,39.68,116.69,71.014999,PM10,27740
13.640000,26.440001,5.650000,11.760000,0.310000,125.589996,2.260000,-0.020000,297.649994,35.369999,90143.156250,39.89,115.66,26.440001,PM10,27991
14.330000,29.870001,5.590000,14.740000,0.330000,129.410004,2.290000,0.640000,299.950012,31.580000,93047.218750,39.88,115.83,29.870001,PM10,27992
17.809999,41.759998,6.520000,28.450001,0.390000,124.589996,2.090000,0.530000,302.140015,29.150000,96755.523438,39.87,116.01,41.759998,PM10,27993
23.719999,60.700001,8.440000,50.669998,0.510000,109.300003,1.710000,-0.530000,303.049988,28.230000,99059.023438,39.85,116.18,63.337498,NO2,27994
30.670000,81.180000,9.510000,54.840000,0.660000,98.620003,0.640000,-0.230000,303.450012,27.170000,99747.140625,39.84,116.36,68.550003,NO2,27995
40.380001,98.279999,11.080000,52.549999,0.750000,99.150002,-0.110000,0.230000,302.859985,30.830000,99834.523438,39.82,116.53,74.139999,PM10,27996
37.529999,86.070000,9.560000,47.299999,0.700000,99.800003,-0.050000,-0.140000,302.630005,32.380001,99947.703125,39.81,116.71,68.035004,PM10,27997
41.990002,93.400002,11.450000,49.849998,0.820000,101.660004,-0.020000,0.340000,302.420013,34.150002,100110.882812,39.79,116.88,71.699997,PM10,27998
12.850000,23.010000,6.460000,10.330000,0.280000,110.379997,2.880000,0.770000,295.410004,37.840000,87005.867188,40.04,115.5,23.010000,PM10,28250
12.640000,23.830000,5.930000,11.140000,0.290000,118.550003,3.050000,0.480000,298.049988,34.020000,90582.273438,40.03,115.68,23.830000,PM10,28251
13.200000,26.570000,5.700000,13.590000,0.310000,125.440002,2.740000,0.170000,300.450012,30.870001,94061.492188,40.02,115.85,26.570000,PM10,28252
17.129999,38.639999,6.370000,25.040001,0.380000,123.470001,2.090000,0.330000,301.720001,30.170000,96584.171875,40.0,116.03,38.639999,PM10,28253
23.480000,56.740002,8.020000,46.500000,0.480000,111.470001,1.800000,-0.200000,302.470001,29.510000,98707.906250,39.99,116.2,58.125000,NO2,28254
28.230000,71.269997,8.300000,53.980000,0.580000,99.169998,0.690000,-0.060000,303.179993,27.959999,99767.593750,39.97,116.38,67.474998,NO2,28255
36.459999,84.889999,9.240000,52.700001,0.660000,97.410004,-0.300000,0.580000,302.570007,31.700001,99901.968750,39.96,116.55,67.445000,PM10,28256
34.020000,75.260002,8.400000,44.500000,0.620000,98.019997,-0.300000,-0.240000,302.299988,33.509998,99970.593750,39.94,116.73,62.630001,PM10,28257
12.800000,24.770000,5.810000,12.960000,0.310000,118.190002,2.960000,-0.150000,299.450012,32.669998,93087.328125,40.15,115.87,24.770000,PM10,28515
15.300000,32.430000,5.940000,19.790001,0.350000,121.339996,2.390000,-0.210000,301.720001,30.190001,96424.546875,40.14,116.05,32.430000,PM10,28516
19.980000,44.490002,6.400000,30.030001,0.410000,119.769997,1.530000,-0.620000,303.029999,29.170000,99471.679688,40.12,116.22,44.490002,PM10,28517
24.809999,55.189999,6.200000,40.400002,0.450000,111.800003,0.370000,-0.230000,302.739990,30.420000,100041.007812,40.11,116.4,52.595001,PM10,28518
27.840000,61.680000,6.560000,43.669998,0.500000,102.199997,-0.430000,0.560000,302.429993,32.040001,100039.328125,40.09,116.57,55.840000,PM10,28519
26.969999,57.540001,6.050000,32.509998,0.500000,101.300003,-0.730000,-0.370000,302.359985,33.130001,100048.906250,40.08,116.75,53.770000,PM10,28520
32.009998,66.889999,8.450000,36.139999,0.620000,105.019997,-0.680000,0.030000,302.200012,34.880001,99968.148438,40.06,116.92,58.445000,PM10,28521
14.550000,29.730000,5.980000,17.850000,0.360000,116.089996,2.780000,-0.480000,300.760010,31.750000,95458.406250,40.27,116.06,29.730000,PM10,28778
17.330000,37.270000,5.830000,23.379999,0.380000,120.139999,1.420000,-1.470000,302.420013,30.070000,98409.148438,40.26,116.24,37.270000,PM10,28779
20.510000,44.700001,5.440000,29.459999,0.400000,117.279999,0.540000,-0.990000,302.920013,29.809999,99508.406250,40.24,116.42,44.700001,PM10,28780
22.600000,49.660000,5.570000,32.310001,0.420000,107.400002,-0.290000,-0.470000,303.010010,30.379999,100065.031250,40.23,116.59,49.660000,PM10,28781
