PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
31.240000,37.680000,6.680000,21.490000,0.540000,43.720001,-0.510000,3.050000,294.489990,97.839996,100736.562500,23.66,117.14,44.628571,PM2.5,2079
34.970001,42.930000,6.730000,26.370001,0.640000,35.750000,0.210000,3.390000,293.839996,97.309998,99168.046875,23.8,117.16,49.957146,PM2.5,2220
26.240000,30.190001,4.170000,7.930000,0.310000,70.080002,0.360000,2.440000,293.890015,99.940002,101351.007812,23.75,117.59,37.485714,PM2.5,2221
35.310001,43.230000,5.020000,21.200001,0.700000,34.240002,-0.500000,4.880000,293.790009,94.570000,98084.156250,23.95,117.03,50.387501,PM2.5,2362
35.860001,43.919998,5.650000,24.250000,0.660000,35.389999,1.270000,5.000000,292.959991,96.620003,96825.312500,23.93,117.17,51.075001,PM2.5,2363
33.130001,40.290001,4.720000,15.740000,0.580000,43.340000,1.460000,4.410000,293.649994,95.470001,98421.453125,23.92,117.32,47.328571,PM2.5,2364
33.560001,40.310001,4.200000,13.590000,0.530000,49.410000,0.650000,3.460000,293.799988,98.180000,100158.429688,23.9,117.47,47.942860,PM2.5,2365
35.160000,42.880001,4.360000,13.400000,0.460000,59.220001,0.400000,2.650000,293.559998,100.000000,101008.242188,23.88,117.61,50.200001,PM2.5,2366
34.740002,42.060001,4.270000,18.980000,0.660000,34.380001,0.820000,6.120000,292.989990,94.489998,96249.023438,24.08,117.04,49.628574,PM2.5,2507
34.639999,42.220001,4.650000,22.639999,0.630000,34.619999,1.950000,6.210000,293.250000,93.139999,96577.789062,24.07,117.19,49.485714,PM2.5,2508
33.580002,41.020000,3.960000,16.750000,0.600000,39.220001,1.380000,5.190000,293.630005,92.959999,97673.382812,24.05,117.34,47.971432,PM2.5,2509
35.570000,43.290001,3.720000,15.470000,0.580000,42.500000,0.560000,4.080000,293.470001,96.489998,98739.296875,24.03,117.48,50.712502,PM2.5,2510
