PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
24.740000,39.950001,14.160000,4.950000,0.590000,62.000000,-0.190000,-9.790000,298.540009,77.440002,99498.843750,21.58,107.95,39.950001,PM10,208
21.400000,36.209999,13.300000,5.940000,0.630000,55.369999,-0.910000,-9.310000,298.220001,79.860001,99737.070312,21.57,108.09,36.209999,PM10,209
21.120001,34.779999,14.460000,8.770000,1.090000,53.830002,0.880000,-8.530000,299.119995,83.360001,99966.468750,21.54,109.24,34.779999,PM10,210
21.500000,35.070000,14.010000,8.630000,1.060000,53.880001,1.140000,-7.920000,299.670013,83.410004,99950.593750,21.53,109.38,35.070000,PM10,211
20.480000,34.160000,13.930000,9.060000,1.020000,56.040001,0.830000,-7.730000,300.760010,83.870003,100025.843750,21.52,109.53,34.160000,PM10,212
19.830000,32.730000,13.870000,9.800000,1.060000,53.590000,-0.070000,-5.540000,301.089996,83.370003,100009.976562,21.52,109.67,32.730000,PM10,213
39.910000,52.610001,14.730000,3.140000,0.480000,73.870003,-3.390000,-8.600000,295.170013,87.769997,94869.890625,21.73,107.23,56.137501,PM2.5,234
33.209999,48.090000,13.590000,3.350000,0.520000,67.589996,-2.500000,-8.300000,294.420013,91.470001,94227.468750,21.72,107.38,48.090000,PM10,235
31.520000,46.549999,13.510000,3.570000,0.540000,67.220001,-0.950000,-7.860000,294.070007,93.360001,93918.789062,21.72,107.52,46.549999,PM10,236
28.780001,45.070000,12.940000,4.050000,0.570000,62.529999,0.840000,-9.030000,294.779999,90.870003,94948.429688,21.72,107.66,45.070000,PM10,237
25.719999,41.439999,12.940000,4.520000,0.600000,62.349998,1.240000,-9.760000,296.220001,85.260002,96492.562500,21.71,107.81,41.439999,PM10,238
22.260000,37.860001,11.850000,5.190000,0.650000,57.259998,0.640000,-10.110000,296.869995,83.300003,97347.429688,21.71,107.95,37.860001,PM10,239
19.270000,33.900002,11.070000,6.280000,0.680000,52.169998,0.010000,-9.300000,297.790009,81.040001,98993.281250,21.71,108.09,33.900002,PM10,240
15.510000,30.110001,10.940000,9.750000,0.760000,45.310001,-0.670000,-9.270000,297.859985,81.860001,100010.109375,21.7,108.24,30.110001,PM10,241
16.570000,30.610001,11.770000,10.100000,0.770000,45.180000,-0.450000,-9.760000,297.450012,84.760002,100037.500000,21.7,108.38,30.610001,PM10,242
19.459999,33.389999,12.910000,8.140000,0.750000,53.000000,-0.080000,-10.790000,298.040009,85.169998,100186.171875,21.69,108.53,33.389999,PM10,243
19.610001,32.349998,13.600000,7.100000,0.870000,55.000000,0.320000,-9.210000,297.720001,84.099998,100104.937500,21.68,108.81,32.349998,PM10,244
18.969999,31.830000,13.310000,7.980000,0.980000,53.419998,0.650000,-8.960000,297.910004,84.220001,100061.726562,21.68,108.96,31.830000,PM10,245
