PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
27.969999,30.719999,8.500000,10.240000,0.330000,47.380001,3.210000,3.100000,267.570007,78.220001,92279.312500,43.59,128.88,39.957142,PM2.5,36791
26.719999,29.230000,8.200000,9.690000,0.330000,48.259998,4.380000,1.950000,267.200012,75.389999,90576.773438,43.56,129.06,38.171429,PM2.5,36792
30.240000,33.259998,8.480000,10.310000,0.350000,44.790001,3.610000,3.880000,268.859985,76.209999,96291.031250,43.75,128.74,43.200001,PM2.5,36941
27.440001,30.010000,8.030000,9.650000,0.330000,47.419998,3.510000,4.620000,268.630005,74.870003,94353.289062,43.72,128.92,39.200001,PM2.5,36942
25.900000,28.190001,7.710000,9.120000,0.320000,48.660000,4.160000,3.550000,268.130005,73.120003,92394.773438,43.69,129.1,37.000000,PM2.5,36943
29.260000,32.150002,7.920000,9.400000,0.340000,45.119999,3.310000,3.210000,268.179993,75.849998,95566.453125,43.88,128.78,41.799999,PM2.5,37085
27.590000,30.139999,7.780000,9.300000,0.330000,46.470001,3.430000,4.640000,268.660004,74.790001,95395.273438,43.85,128.96,39.414288,PM2.5,37086
25.510000,27.709999,7.420000,8.790000,0.320000,48.700001,3.150000,3.810000,268.660004,73.169998,94093.117188,43.82,129.14,36.442856,PM2.5,37087
26.680000,28.610001,8.360000,9.720000,0.330000,46.189999,4.330000,1.600000,267.510010,77.790001,92484.671875,43.54,130.76,38.114285,PM2.5,37096
26.309999,28.120001,8.430000,9.530000,0.320000,46.330002,4.610000,0.520000,267.670013,79.489998,92738.296875,43.51,130.94,37.585712,PM2.5,37097
27.090000,29.309999,8.410000,10.130000,0.330000,45.259998,4.940000,-0.230000,267.649994,82.580002,93113.023438,43.48,131.12,38.700001,PM2.5,37098
33.660000,40.410000,8.510000,14.620000,0.440000,48.560001,-0.220000,3.310000,267.329987,77.660004,94182.101562,44.19,127.74,48.085712,PM2.5,37220
26.770000,31.750000,6.890000,11.010000,0.370000,51.230000,-0.630000,2.160000,267.200012,71.070000,92027.382812,44.16,127.92,38.242859,PM2.5,37221
28.100000,31.290001,7.410000,8.910000,0.360000,46.570000,3.700000,2.000000,269.010010,63.810001,94384.929688,44.04,128.64,40.142857,PM2.5,37225
28.500000,31.100000,7.640000,8.940000,0.330000,45.520000,3.180000,3.330000,268.619995,70.349998,95132.218750,44.01,128.83,40.714287,PM2.5,37226
28.000000,30.549999,7.770000,9.210000,0.330000,45.759998,3.170000,4.430000,269.179993,70.970001,96173.093750,43.98,129.01,40.000000,PM2.5,37227
26.240000,28.520000,7.480000,8.910000,0.320000,47.400002,2.450000,3.940000,269.290009,71.190002,95707.382812,43.95,129.19,37.485714,PM2.5,37228
25.740000,27.879999,7.420000,8.840000,0.320000,47.709999,2.020000,3.160000,268.000000,78.209999,94001.906250,43.92,129.37,36.771427,PM2.5,37229
27.340000,29.580000,7.820000,9.390000,0.330000,46.480000,2.200000,2.030000,267.179993,84.139999,93573.882812,43.89,129.55,39.057144,PM2.5,37230
29.639999,32.000000,9.420000,10.810000,0.350000,44.480000,4.460000,1.320000,268.829987,73.099998,94896.453125,43.74,130.45,42.342857,PM2.5,37235
29.260000,31.500000,9.340000,10.940000,0.340000,44.349998,4.150000,2.390000,268.809998,73.449997,94707.648438,43.71,130.62,41.799999,PM2.5,37236
28.549999,30.620001,9.190000,10.490000,0.340000,44.750000,4.070000,2.460000,268.809998,73.129997,94495.531250,43.67,130.8,40.785713,PM2.5,37237
28.160000,30.170000,9.180000,10.370000,0.340000,44.770000,4.260000,2.040000,268.399994,76.470001,93969.039062,43.64,130.98,40.228573,PM2.5,37238
28.230000,30.209999,9.280000,10.590000,0.340000,44.200001,4.950000,1.470000,268.269989,78.059998,93855.289062,43.61,131.16,40.328571,PM2.5,37239
42.970001,52.720001,10.900000,23.030001,0.550000,46.750000,0.920000,4.840000,267.989990,76.610001,96203.218750,44.34,127.6,59.962502,PM2.5,37358
32.250000,39.070000,8.310000,15.860000,0.430000,49.889999,0.290000,4.520000,268.589996,71.720001,96226.656250,44.32,127.78,46.071430,PM2.5,37359
26.340000,31.610001,6.740000,12.020000,0.370000,51.880001,-0.510000,4.010000,268.029999,66.959999,93478.468750,44.29,127.96,37.628571,PM2.5,37360
24.180000,27.360001,6.580000,8.300000,0.340000,50.980000,5.430000,1.430000,268.809998,56.450001,91387.070312,44.2,128.5,34.542858,PM2.5,37363
28.160000,31.350000,7.430000,9.040000,0.370000,46.799999,3.980000,2.050000,269.420013,59.820000,94262.750000,44.17,128.69,40.228573,PM2.5,37364
29.120001,31.639999,7.870000,9.220000,0.330000,45.119999,2.840000,3.100000,269.709991,64.879997,96381.578125,44.14,128.87,41.600002,PM2.5,37365
31.650000,34.650002,8.700000,10.590000,0.360000,43.639999,1.970000,3.640000,269.540009,69.959999,97678.562500,44.11,129.05,45.214287,PM2.5,37366
