PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
62.349998,92.790001,10.010000,32.919998,1.150000,45.389999,-1.440000,3.840000,274.649994,46.459999,100076.500000,31.5,114.83,84.187500,PM2.5,12366
55.590000,83.959999,9.590000,28.830000,1.040000,49.709999,-0.610000,3.870000,274.790009,45.270000,99752.273438,31.49,114.99,75.737503,PM2.5,12367
42.639999,65.379997,8.180000,21.160000,0.790000,56.180000,-1.250000,4.600000,275.559998,40.500000,98846.210938,31.47,115.3,59.549999,PM2.5,12369
69.449997,102.040001,10.410000,35.639999,1.150000,42.099998,-1.480000,5.950000,274.799988,45.169998,99944.617188,31.65,114.68,93.062500,PM2.5,12610
64.019997,94.339996,10.140000,32.970001,1.070000,44.680000,-0.560000,5.820000,274.779999,44.160000,99377.867188,31.64,114.84,86.274994,PM2.5,12611
57.259998,86.010002,9.670000,28.650000,0.990000,48.830002,0.020000,5.420000,275.019989,44.410000,99600.343750,31.63,115.0,77.824997,PM2.5,12612
49.490002,75.269997,9.080000,23.830000,0.870000,52.570000,-0.450000,4.920000,275.630005,43.509998,100261.671875,31.61,115.16,68.112503,PM2.5,12613
44.060001,67.029999,7.950000,21.080000,0.750000,55.290001,-1.320000,4.840000,275.739990,40.070000,99600.593750,31.6,115.32,61.325001,PM2.5,12614
81.209999,122.500000,12.560000,56.990002,1.390000,26.410000,-0.890000,5.370000,274.450012,55.959999,100058.171875,31.84,114.06,107.762497,PM2.5,12856
80.029999,117.150002,10.500000,46.599998,1.230000,34.900002,-1.010000,7.130000,275.029999,49.480000,100906.109375,31.81,114.38,106.287498,PM2.5,12858
79.250000,115.989998,10.150000,40.270000,1.230000,38.169998,-0.700000,7.610000,275.260010,46.820000,101045.648438,31.8,114.54,105.312500,PM2.5,12859
74.459999,108.410004,10.130000,36.230000,1.160000,41.180000,-0.380000,7.200000,275.769989,42.730000,100889.500000,31.79,114.7,99.324997,PM2.5,12860
68.830002,100.440002,9.770000,33.939999,1.080000,43.490002,-0.110000,6.610000,276.070007,42.049999,100958.218750,31.77,114.86,92.287506,PM2.5,12861
61.230000,90.959999,9.280000,29.129999,0.980000,47.869999,-0.160000,5.770000,276.220001,43.290001,101261.046875,31.76,115.02,82.787498,PM2.5,12862
52.599998,78.830002,8.680000,23.840000,0.850000,52.029999,-0.100000,4.800000,276.450012,44.450001,101468.437500,31.75,115.18,72.000000,PM2.5,12863
43.610001,64.470001,7.980000,18.820000,0.670000,58.860001,-0.550000,4.390000,277.859985,44.610001,100640.226562,31.74,115.34,60.762501,PM2.5,12864
42.910000,65.169998,8.080000,20.879999,0.680000,56.230000,-0.870000,3.440000,275.799988,43.209999,98544.367188,31.72,115.49,59.887501,PM2.5,12865
75.680000,113.379997,12.660000,56.860001,1.320000,25.920000,0.370000,6.800000,274.459991,53.150002,99455.273438,31.98,113.91,100.849998,PM2.5,13105
85.290001,127.010002,12.270000,57.189999,1.390000,26.190001,0.010000,7.160000,275.160004,52.970001,100798.601562,31.97,114.07,112.862503,PM2.5,13106
84.620003,120.889999,11.450000,51.910000,1.260000,31.120001,-0.330000,6.560000,275.290009,52.049999,101364.656250,31.96,114.23,112.025002,PM2.5,13107
84.440002,120.769997,9.890000,44.779999,1.210000,35.070000,-0.090000,6.860000,275.609985,48.900002,101779.101562,31.95,114.39,111.800003,PM2.5,13108
84.419998,120.269997,9.490000,39.029999,1.200000,38.099998,-0.070000,6.920000,275.820007,46.980000,102018.250000,31.94,114.55,111.774994,PM2.5,13109
80.690002,114.160004,9.440000,36.040001,1.150000,40.549999,-0.100000,5.840000,276.239990,44.770000,102128.296875,31.92,114.71,107.112503,PM2.5,13110
75.500000,106.839996,9.220000,34.560001,1.080000,42.529999,-0.270000,4.780000,276.420013,45.450001,102279.703125,31.91,114.87,100.625000,PM2.5,13111
