PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
69.690002,89.730003,19.700001,20.660000,1.570000,35.630001,-4.640000,0.870000,274.720001,99.360001,94010.781250,29.24,109.13,93.362503,PM2.5,7808
75.889999,93.879997,22.969999,19.600000,1.460000,34.770000,-7.430000,4.050000,273.359985,99.199997,90504.296875,29.38,108.98,101.112503,PM2.5,8034
73.400002,91.730003,19.799999,21.000000,1.550000,36.180000,-4.710000,2.420000,274.170013,99.860001,92814.710938,29.37,109.13,98.000000,PM2.5,8035
68.410004,86.919998,17.180000,21.760000,1.620000,37.209999,-5.560000,2.080000,275.429993,92.900002,94552.296875,29.37,109.29,91.762505,PM2.5,8036
85.639999,97.389999,15.680000,33.630001,2.150000,21.690001,-3.560000,-6.530000,278.380005,89.680000,99313.976562,29.13,113.8,113.300003,PM2.5,8065
87.690002,101.750000,15.630000,34.230000,2.050000,22.129999,-3.500000,-4.600000,278.429993,88.389999,98577.109375,29.11,113.95,115.862503,PM2.5,8066
77.800003,94.680000,23.639999,20.379999,1.500000,34.020000,-6.190000,3.750000,274.619995,97.110001,92073.687500,29.51,108.98,103.500000,PM2.5,8264
77.070000,93.779999,19.309999,20.959999,1.570000,35.090000,-4.250000,3.560000,274.450012,99.660004,92578.796875,29.51,109.14,102.587502,PM2.5,8265
71.059998,87.970001,16.350000,21.730000,1.630000,36.730000,-3.170000,2.330000,276.010010,93.739998,94823.882812,29.5,109.29,95.074997,PM2.5,8266
79.330002,104.500000,16.910000,31.260000,2.350000,22.830000,-5.250000,-7.120000,278.059998,89.059998,99223.109375,29.27,113.65,105.412506,PM2.5,8294
85.050003,105.500000,15.810000,31.780001,2.230000,23.280001,-3.970000,-7.000000,278.989990,85.900002,100579.273438,29.26,113.81,112.562500,PM2.5,8295
89.599998,111.290001,14.880000,31.799999,2.130000,24.459999,-3.840000,-5.400000,278.529999,86.510002,99508.390625,29.25,113.96,118.250000,PM2.5,8296
93.419998,114.690002,14.210000,32.139999,2.070000,23.870001,-4.630000,-4.530000,277.019989,93.370003,96730.859375,29.24,114.12,123.024994,PM2.5,8297
83.730003,98.779999,24.990000,21.580000,1.550000,32.110001,-3.750000,2.200000,275.820007,95.510002,93157.992188,29.65,108.99,110.912506,PM2.5,8496
83.900002,98.320000,19.379999,21.410000,1.620000,33.680000,-3.530000,3.210000,274.899994,99.260002,91998.101562,29.64,109.14,111.125000,PM2.5,8497
78.680000,93.150002,15.980000,21.520000,1.650000,36.009998,-2.670000,2.620000,275.149994,98.570000,92473.992188,29.64,109.3,104.599998,PM2.5,8498
68.540001,84.239998,14.550000,20.980000,1.680000,39.430000,-4.180000,1.160000,275.970001,90.699997,93258.679688,29.63,109.46,91.925003,PM2.5,8499
83.860001,109.470001,15.910000,31.090000,2.360000,22.240000,-3.420000,-6.050000,278.459991,88.959999,99988.546875,29.4,113.82,111.074997,PM2.5,8527
89.610001,117.050003,14.950000,30.450001,2.240000,26.320000,-3.810000,-5.630000,278.839996,84.849998,100619.226562,29.38,113.98,118.262497,PM2.5,8528
93.949997,120.720001,13.790000,30.360001,2.160000,26.180000,-4.620000,-5.000000,277.500000,90.699997,98430.328125,29.37,114.13,123.687500,PM2.5,8529
99.220001,116.339996,35.049999,21.459999,1.330000,24.730000,-1.820000,1.930000,276.410004,98.629997,92489.968750,29.8,108.52,130.274994,PM2.5,8723
99.709999,114.239998,32.360001,21.410000,1.390000,26.360001,-2.720000,2.050000,276.200012,97.620003,92050.218750,29.8,108.68,130.887497,PM2.5,8724
99.690002,112.779999,29.280001,21.530001,1.470000,28.379999,-2.740000,1.560000,275.600006,99.519997,91350.046875,29.79,108.84,130.862503,PM2.5,8725
