PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
27.860001,36.290001,7.770000,6.640000,0.680000,50.939999,-1.690000,2.980000,289.660004,92.769997,92640.203125,24.79,111.61,39.799999,PM2.5,2760
25.379999,33.560001,6.150000,7.550000,0.640000,49.500000,-1.660000,0.750000,290.519989,89.199997,94427.476562,24.77,111.91,36.257141,PM2.5,2762
26.600000,34.060001,7.420000,6.290000,0.650000,55.410000,-2.070000,3.590000,290.440002,86.589996,93411.117188,24.95,111.03,38.000000,PM2.5,2901
26.270000,35.680000,9.640000,7.100000,0.730000,50.320000,-0.130000,0.160000,290.790009,84.300003,97578.023438,24.93,111.47,37.528572,PM2.5,2904
26.620001,34.950001,8.330000,6.230000,0.650000,52.860001,-1.100000,2.570000,290.279999,88.580002,94084.703125,24.92,111.62,38.028572,PM2.5,2905
26.660000,34.240002,6.620000,5.460000,0.580000,54.070000,-1.440000,2.860000,289.660004,91.550003,92781.968750,24.91,111.77,38.085712,PM2.5,2906
26.340000,34.200001,6.600000,6.180000,0.590000,53.150002,-1.250000,1.840000,289.559998,91.959999,92963.382812,24.9,111.92,37.628571,PM2.5,2907
26.370001,35.240002,7.450000,8.300000,0.650000,47.950001,-1.660000,1.230000,289.769989,91.440002,94247.609375,24.89,112.07,37.671429,PM2.5,2908
25.510000,32.730000,8.200000,6.030000,0.600000,56.810001,-2.760000,0.430000,291.140015,82.400002,97460.882812,25.09,111.04,36.442856,PM2.5,3046
27.040001,34.529999,8.300000,6.090000,0.610000,55.259998,-3.060000,0.780000,290.149994,85.570000,96738.906250,25.08,111.19,38.628574,PM2.5,3047
26.059999,35.730000,9.910000,7.030000,0.700000,51.630001,-0.530000,-1.510000,289.600006,87.540001,96842.843750,25.06,111.48,37.228569,PM2.5,3049
25.410000,33.900002,8.730000,6.170000,0.640000,53.830002,-0.300000,0.570000,290.220001,87.500000,95280.093750,25.06,111.63,36.299999,PM2.5,3050
24.760000,32.160000,6.900000,5.000000,0.540000,58.139999,-1.120000,2.630000,290.019989,89.389999,93240.703125,25.05,111.78,35.371429,PM2.5,3051
26.719999,34.439999,6.730000,5.220000,0.550000,57.759998,-1.430000,2.180000,288.880005,94.580002,92176.226562,25.04,111.93,38.171429,PM2.5,3052
26.650000,35.540001,7.710000,6.750000,0.610000,53.799999,-1.440000,0.360000,289.049988,94.720001,94208.210938,25.03,112.08,38.071426,PM2.5,3053
22.440001,32.570000,7.900000,11.700000,0.750000,48.660000,-0.240000,1.470000,289.730011,87.480003,92651.609375,24.98,112.82,32.570000,PM10,3058
24.139999,34.130001,7.490000,14.150000,0.830000,43.919998,-0.270000,1.900000,288.869995,90.769997,91116.921875,24.97,112.97,34.485714,PM2.5,3059
26.480000,33.669998,7.910000,5.850000,0.580000,59.189999,-3.260000,-0.970000,289.640015,87.589996,95780.539062,25.21,111.2,37.828571,PM2.5,3192
27.370001,35.910000,8.290000,6.500000,0.630000,54.430000,-2.340000,-2.300000,288.649994,89.680000,96127.906250,25.21,111.34,39.100002,PM2.5,3193
25.850000,36.369999,10.210000,7.420000,0.710000,52.169998,-0.470000,-2.780000,288.570007,89.250000,97123.226562,25.2,111.49,36.928574,PM2.5,3194
25.030001,35.470001,10.140000,7.150000,0.700000,54.130001,0.320000,-1.490000,289.209991,89.540001,96262.023438,25.19,111.64,35.757145,PM2.5,3195
25.000000,33.110001,7.620000,5.300000,0.570000,58.799999,-0.060000,2.030000,289.279999,91.809998,92543.429688,25.18,111.79,35.714287,PM2.5,3196
27.540001,35.320000,6.960000,5.180000,0.540000,59.049999,-0.560000,2.950000,288.170013,96.430000,90718.476562,25.17,111.94,39.342857,PM2.5,3197
27.520000,36.160000,7.370000,5.820000,0.580000,56.730000,-0.980000,1.330000,288.170013,96.320000,92242.867188,25.16,112.09,39.314285,PM2.5,3198
24.969999,35.060001,7.900000,7.790000,0.660000,53.060001,-0.000000,0.820000,288.720001,92.099998,93042.890625,25.15,112.39,35.671429,PM2.5,3200
22.230000,33.910000,9.170000,11.190000,0.770000,48.820000,0.500000,0.190000,289.679993,87.230003,95479.476562,25.14,112.53,33.910000,PM10,3201
21.400000,33.599998,9.980000,13.460000,0.830000,46.299999,0.410000,-0.060000,290.750000,83.510002,97168.812500,25.13,112.68,33.599998,PM10,3202
22.000000,34.020000,10.640000,14.200000,0.870000,45.480000,-0.250000,-0.150000,290.989990,83.389999,96924.718750,25.12,112.83,34.020000,PM10,3203
23.360001,35.029999,10.200000,16.950001,0.930000,39.580002,-1.240000,0.460000,290.390015,86.309998,95432.460938,25.11,112.98,35.029999,PM10,3204
28.500000,36.150002,8.030000,6.200000,0.590000,56.500000,-2.180000,0.360000,288.029999,93.489998,92897.523438,25.35,111.2,40.714287,PM2.5,3336
29.330000,38.180000,8.120000,6.280000,0.620000,53.970001,-1.720000,-0.860000,287.420013,94.089996,94337.203125,25.34,111.35,41.900002,PM2.5,3337
23.870001,35.790001,10.560000,8.090000,0.750000,51.070000,-0.530000,-2.760000,288.589996,86.760002,98252.906250,25.33,111.5,35.790001,PM10,3338
22.809999,34.980000,11.010000,8.340000,0.760000,53.520000,-0.060000,-2.640000,289.119995,86.389999,98145.726562,25.32,111.65,34.980000,PM10,3339
23.830000,35.349998,10.090000,7.510000,0.720000,54.520000,-0.320000,-0.150000,289.130005,89.669998,94728.171875,25.32,111.8,35.349998,PM10,3340
25.379999,35.310001,8.320000,6.530000,0.640000,55.580002,-0.670000,2.300000,288.869995,92.550003,92259.187500,25.31,111.95,36.257141,PM2.5,3341
27.010000,36.930000,8.070000,6.710000,0.640000,55.130001,-0.760000,2.230000,288.179993,94.379997,91906.296875,25.3,112.1,38.585716,PM2.5,3342
