PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
28.520000,33.009998,7.630000,35.439999,0.670000,49.669998,-2.580000,1.540000,296.359985,96.589996,100810.023438,30.79,120.49,44.299999,NO2,12158
25.920000,35.160000,7.550000,30.860001,0.670000,54.299999,-3.010000,3.270000,296.410004,97.099998,100761.500000,30.96,120.2,38.575001,NO2,12400
27.340000,31.860001,7.910000,33.230000,0.680000,54.610001,-2.870000,2.260000,296.459991,96.339996,100780.187500,30.92,120.51,41.537498,NO2,12402
29.040001,32.959999,7.480000,36.380001,0.680000,55.889999,-2.630000,1.660000,296.519989,96.760002,100827.796875,30.9,120.67,45.475002,NO2,12403
32.830002,42.360001,11.450000,13.880000,0.560000,51.549999,-3.140000,3.200000,298.910004,78.309998,100741.796875,31.26,118.81,46.900002,PM2.5,12636
31.280001,41.119999,10.910000,15.270000,0.560000,51.509998,-3.200000,3.590000,298.649994,80.220001,100687.273438,31.24,118.96,44.685715,PM2.5,12637
28.610001,39.230000,9.860000,21.209999,0.580000,51.860001,-3.270000,4.300000,297.519989,86.250000,99767.203125,31.19,119.44,40.871429,PM2.5,12640
29.250000,40.380001,9.680000,22.799999,0.590000,52.750000,-2.940000,4.270000,296.869995,89.480003,99160.546875,31.17,119.59,41.785713,PM2.5,12641
26.820000,38.369999,7.590000,29.700001,0.640000,56.310001,-2.740000,3.590000,296.649994,96.050003,100868.023438,31.11,120.07,38.369999,PM10,12644
27.610001,37.230000,7.410000,31.150000,0.660000,56.509998,-3.080000,3.630000,296.480011,96.680000,100726.218750,31.1,120.22,39.442860,PM2.5,12645
28.870001,35.130001,7.910000,30.430000,0.650000,55.990002,-3.020000,2.930000,296.480011,96.349998,100570.156250,31.08,120.38,41.242859,PM2.5,12646
29.150000,35.250000,7.720000,33.570000,0.690000,59.250000,-2.970000,2.670000,296.420013,97.370003,100705.523438,31.06,120.54,41.962502,NO2,12647
30.430000,34.330002,7.820000,34.020000,0.660000,58.250000,-2.930000,2.190000,296.649994,95.910004,100831.382812,31.04,120.69,43.471428,PM2.5,12648
32.630001,36.580002,7.400000,34.889999,0.640000,58.630001,-2.740000,1.670000,296.570007,96.459999,100821.132812,31.02,120.85,46.614288,PM2.5,12649
32.709999,43.000000,11.440000,17.340000,0.610000,48.410000,-3.070000,3.640000,298.660004,80.110001,100650.273438,31.38,118.98,46.728569,PM2.5,12887
31.280001,41.619999,10.860000,18.670000,0.610000,48.740002,-2.890000,3.710000,298.480011,81.349998,100616.476562,31.36,119.14,44.685715,PM2.5,12888
29.520000,40.189999,10.790000,20.700001,0.620000,48.650002,-2.780000,4.110000,298.380005,81.980003,100615.523438,31.34,119.3,42.171429,PM2.5,12889
28.809999,39.650002,10.400000,22.450001,0.620000,50.279999,-2.800000,4.230000,298.200012,83.099998,100496.273438,31.32,119.46,41.157143,PM2.5,12890
28.680000,39.990002,10.130000,23.990000,0.620000,52.599998,-2.990000,4.230000,297.750000,85.599998,100240.093750,31.31,119.62,40.971428,PM2.5,12891
28.629999,40.779999,9.990000,25.660000,0.630000,55.910000,-3.070000,3.970000,297.109985,89.800003,100150.000000,31.29,119.77,40.899998,PM2.5,12892
28.709999,42.450001,8.470000,28.280001,0.650000,58.660000,-3.120000,3.970000,296.609985,95.260002,100595.570312,31.27,119.93,42.450001,PM10,12893
29.629999,40.470001,7.400000,29.870001,0.630000,59.080002,-3.100000,3.970000,296.679993,95.589996,100869.617188,31.25,120.09,42.328571,PM2.5,12894
29.420000,39.610001,7.470000,30.980000,0.650000,58.849998,-2.990000,3.740000,296.630005,95.629997,100809.992188,31.23,120.25,42.028572,PM2.5,12895
30.709999,36.419998,8.200000,28.799999,0.640000,59.509998,-2.950000,2.890000,296.760010,94.889999,100674.656250,31.21,120.4,43.871426,PM2.5,12896
31.250000,37.279999,8.230000,31.180000,0.690000,62.240002,-3.230000,2.920000,296.589996,96.610001,100732.343750,31.19,120.56,44.642857,PM2.5,12897
33.049999,39.889999,7.880000,34.750000,0.730000,64.629997,-3.580000,2.690000,296.489990,97.760002,100817.429688,31.17,120.72,47.214283,PM2.5,12898
34.130001,40.160000,8.000000,36.730000,0.770000,65.470001,-3.400000,2.130000,296.529999,97.230003,100834.023438,31.15,120.88,48.757145,PM2.5,12899
34.009998,45.790001,11.930000,18.379999,0.660000,46.009998,-2.970000,3.470000,298.549988,80.330002,100586.203125,31.51,119.01,48.585712,PM2.5,13137
33.160000,44.990002,11.530000,19.670000,0.660000,46.349998,-2.690000,3.380000,298.320007,81.599998,100479.773438,31.5,119.16,47.371429,PM2.5,13138
31.590000,43.610001,11.450000,21.420000,0.660000,47.709999,-2.590000,3.400000,298.369995,81.930000,100702.273438,31.48,119.32,45.128571,PM2.5,13139
30.700001,42.779999,11.280000,23.170000,0.660000,50.549999,-2.940000,3.500000,298.290009,83.220001,100801.101562,31.46,119.48,43.857143,PM2.5,13140
30.070000,42.700001,11.230000,24.620001,0.670000,54.029999,-3.340000,3.610000,297.910004,85.699997,100785.148438,31.44,119.64,42.957142,PM2.5,13141
29.820000,43.099998,11.200000,26.200001,0.680000,57.869999,-3.480000,3.790000,297.440002,88.889999,100782.609375,31.42,119.8,43.099998,PM10,13142
30.610001,43.560001,9.480000,27.889999,0.660000,59.910000,-3.350000,4.040000,296.829987,93.419998,100790.671875,31.4,119.95,43.728573,PM2.5,13143
32.669998,45.650002,7.710000,29.299999,0.650000,62.790001,-3.090000,4.040000,296.440002,96.750000,100840.156250,31.38,120.11,46.671425,PM2.5,13144
31.120001,42.740002,8.550000,28.690001,0.700000,65.540001,-2.900000,3.660000,296.640015,95.620003,100822.601562,31.36,120.27,44.457146,PM2.5,13145
30.820000,37.290001,10.120000,27.840000,0.710000,66.500000,-2.930000,2.940000,296.970001,93.550003,100770.523438,31.34,120.43,44.028572,PM2.5,13146
30.070000,37.389999,11.660000,35.279999,0.810000,65.199997,-3.170000,3.000000,296.829987,94.760002,100795.421875,31.33,120.58,44.099998,NO2,13147
32.400002,38.720001,10.700000,36.139999,0.820000,65.699997,-3.360000,2.700000,296.730011,95.260002,100831.320312,31.31,120.74,46.285717,PM2.5,13148
