PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
36.840000,46.970001,11.960000,11.820000,0.570000,75.550003,1.630000,2.300000,299.480011,82.099998,94178.882812,24.59,114.43,52.299999,PM2.5,2779
37.669998,47.310001,12.390000,12.520000,0.550000,75.540001,1.580000,1.660000,299.619995,81.860001,94377.203125,24.58,114.57,53.337498,PM2.5,2780
38.889999,48.310001,12.720000,13.190000,0.510000,75.010002,1.180000,1.360000,299.510010,82.809998,94300.453125,24.57,114.72,54.862499,PM2.5,2781
37.759998,49.169998,15.190000,11.580000,0.670000,82.809998,1.450000,2.010000,300.130005,80.169998,95090.343750,24.73,114.44,53.449997,PM2.5,2924
38.790001,49.330002,15.120000,12.130000,0.640000,80.330002,1.380000,1.780000,300.049988,80.739998,95036.367188,24.72,114.59,54.737503,PM2.5,2925
39.560001,49.820000,15.030000,12.810000,0.570000,78.190002,1.190000,1.630000,300.029999,81.099998,94942.101562,24.7,114.73,55.700001,PM2.5,2926
40.230000,50.509998,15.510000,13.390000,0.510000,77.730003,1.170000,1.490000,300.179993,80.870003,95220.109375,24.69,114.88,56.537498,PM2.5,2927
33.970001,44.540001,11.740000,10.480000,0.480000,58.779999,0.640000,1.090000,300.500000,82.070000,95885.492188,24.63,115.62,48.528572,PM2.5,2932
33.970001,45.020000,11.390000,10.600000,0.540000,56.450001,1.160000,0.900000,300.230011,82.610001,95413.210938,24.61,115.77,48.528572,PM2.5,2933
38.759998,50.849998,18.430000,11.440000,0.730000,86.660004,1.320000,1.690000,299.790009,81.279999,94612.031250,24.86,114.45,54.699997,PM2.5,3069
38.970001,49.910000,18.350000,11.960000,0.690000,85.989998,1.140000,1.730000,300.339996,79.730003,95388.460938,24.85,114.6,54.962502,PM2.5,3070
39.930000,50.840000,17.860001,12.780000,0.630000,82.230003,0.900000,1.670000,300.630005,78.589996,95742.703125,24.84,114.75,56.162498,PM2.5,3071
39.990002,50.689999,17.450001,12.810000,0.530000,79.970001,1.010000,1.420000,300.790009,78.129997,95933.117188,24.82,114.9,56.237503,PM2.5,3072
38.580002,48.709999,16.559999,12.160000,0.460000,77.809998,0.640000,0.860000,301.059998,78.290001,96665.109375,24.81,115.04,54.475002,PM2.5,3073
36.919998,46.639999,14.850000,11.460000,0.410000,72.419998,0.120000,0.840000,300.790009,79.389999,96395.656250,24.8,115.19,52.399998,PM2.5,3074
35.320000,44.709999,13.740000,10.730000,0.400000,68.550003,0.470000,0.800000,300.160004,80.739998,95150.367188,24.79,115.34,50.400002,PM2.5,3075
34.259998,43.779999,12.630000,10.250000,0.410000,63.770000,0.750000,0.670000,300.519989,80.500000,95884.398438,24.77,115.49,48.942856,PM2.5,3076
33.889999,43.840000,12.070000,9.850000,0.440000,61.759998,0.500000,0.880000,300.799988,80.449997,96433.906250,24.76,115.64,48.414284,PM2.5,3077
40.529999,53.889999,20.250000,11.400000,0.790000,86.000000,1.840000,1.890000,300.320007,78.389999,95052.367188,25.0,114.47,56.912498,PM2.5,3214
39.080002,50.529999,19.600000,11.360000,0.730000,86.059998,1.600000,1.640000,300.970001,76.910004,96003.218750,24.98,114.61,55.100002,PM2.5,3215
39.279999,50.380001,18.900000,12.080000,0.640000,82.989998,0.920000,1.620000,301.230011,76.480003,96490.906250,24.97,114.76,55.349998,PM2.5,3216
39.500000,50.230000,18.000000,11.990000,0.530000,80.410004,0.630000,1.500000,300.970001,77.269997,96114.570312,24.96,114.91,55.625000,PM2.5,3217
38.680000,48.580002,16.730000,11.180000,0.440000,78.279999,0.520000,0.980000,300.519989,79.120003,95852.546875,24.95,115.06,54.599998,PM2.5,3218
36.090000,45.230000,15.370000,10.400000,0.380000,75.220001,0.090000,0.970000,300.589996,79.709999,96093.343750,24.93,115.21,51.362499,PM2.5,3219
35.150002,44.040001,13.750000,9.670000,0.360000,70.000000,0.160000,0.950000,300.140015,80.449997,95286.273438,24.92,115.35,50.187500,PM2.5,3220
34.000000,42.740002,13.140000,9.230000,0.360000,67.169998,0.590000,0.470000,299.760010,81.830002,94643.500000,24.91,115.5,48.571430,PM2.5,3221
33.509998,42.500000,12.690000,9.130000,0.380000,65.430000,0.630000,0.370000,300.049988,81.570000,95141.312500,24.89,115.65,47.871426,PM2.5,3222
32.369999,41.630001,11.850000,9.240000,0.410000,62.459999,0.810000,0.730000,300.079987,81.919998,95148.343750,24.88,115.8,46.242855,PM2.5,3223
38.730000,49.340000,21.020000,11.000000,0.600000,86.000000,1.000000,1.150000,301.839996,74.440002,97424.640625,25.11,114.78,54.662498,PM2.5,3360
38.240002,48.520000,18.950001,10.900000,0.490000,81.660004,0.480000,1.530000,301.779999,74.480003,97272.507812,25.09,114.92,54.050003,PM2.5,3361
37.700001,47.220001,17.000000,10.010000,0.400000,78.519997,0.130000,1.610000,300.779999,77.709999,95974.070312,25.08,115.07,53.375000,PM2.5,3362
36.200001,44.900002,15.720000,9.510000,0.350000,75.309998,-0.080000,1.230000,300.100006,80.419998,95201.523438,25.07,115.22,51.500000,PM2.5,3363
35.939999,44.279999,14.320000,9.080000,0.340000,70.470001,-0.130000,1.220000,299.619995,81.690002,94535.093750,25.05,115.37,51.174999,PM2.5,3364
35.660000,43.910000,13.810000,8.720000,0.330000,68.660004,0.460000,0.990000,298.709991,84.480003,93024.406250,25.04,115.52,50.825001,PM2.5,3365
34.430000,42.720001,13.330000,8.610000,0.340000,67.839996,1.070000,0.790000,299.160004,83.199997,93603.492188,25.03,115.66,49.185715,PM2.5,3366
32.139999,40.529999,12.370000,8.650000,0.370000,65.629997,0.990000,0.780000,300.059998,80.870003,94955.843750,25.01,115.81,45.914284,PM2.5,3367
50.750000,71.980003,28.469999,9.840000,0.820000,100.550003,1.390000,1.520000,298.869995,82.360001,93366.500000,25.3,114.05,69.687500,PM2.5,3501
40.060001,49.980000,21.410000,10.140000,0.550000,91.050003,1.100000,0.550000,301.940002,74.040001,97928.507812,25.24,114.79,56.325001,PM2.5,3506
38.299999,47.910000,18.580000,9.930000,0.440000,85.260002,0.570000,0.930000,302.329987,73.180000,98442.468750,25.23,114.94,54.125000,PM2.5,3507
36.849998,45.919998,16.770000,9.240000,0.370000,80.330002,0.170000,1.780000,301.630005,75.050003,97177.242188,25.22,115.09,52.312500,PM2.5,3508
35.340000,43.709999,15.890000,8.810000,0.330000,76.820000,0.100000,1.830000,300.510010,78.440002,95451.281250,25.2,115.23,50.424999,PM2.5,3509
34.639999,42.570000,14.890000,8.510000,0.310000,72.820000,0.170000,1.820000,299.850006,80.639999,94572.703125,25.19,115.38,49.485714,PM2.5,3510
34.950001,42.889999,13.840000,8.290000,0.300000,68.760002,0.830000,1.890000,299.089996,82.779999,93328.289062,25.18,115.53,49.928574,PM2.5,3511
33.200001,41.160000,13.670000,8.210000,0.320000,70.010002,1.200000,1.560000,299.910004,80.199997,94308.437500,25.16,115.68,47.428574,PM2.5,3512
31.540001,39.669998,12.540000,8.280000,0.340000,67.660004,0.560000,0.940000,300.380005,79.419998,95399.710938,25.15,115.83,45.057144,PM2.5,3513
53.419998,73.250000,31.889999,9.010000,0.810000,108.139999,1.400000,1.300000,298.929993,82.480003,93418.937500,25.43,114.06,73.024994,PM2.5,3644
52.759998,71.790001,32.580002,9.730000,0.840000,107.339996,1.860000,1.100000,299.679993,79.150002,94081.093750,25.42,114.21,72.199997,PM2.5,3645
51.169998,67.930000,33.869999,10.280000,0.860000,112.879997,1.710000,0.540000,300.820007,75.930000,95846.093750,25.41,114.36,70.212494,PM2.5,3646
45.639999,56.270000,27.340000,10.010000,0.660000,111.209999,1.350000,0.230000,301.179993,76.529999,96961.289062,25.39,114.65,63.299999,PM2.5,3648
42.730000,52.430000,21.969999,10.230000,0.510000,97.949997,1.010000,0.060000,301.739990,74.559998,97737.476562,25.37,114.8,59.662498,PM2.5,3649
40.230000,49.820000,18.709999,9.790000,0.410000,89.620003,0.460000,0.150000,302.149994,73.830002,98518.343750,25.36,114.95,56.537498,PM2.5,3650
36.689999,45.340000,16.080000,8.510000,0.340000,82.930000,0.410000,1.000000,301.940002,74.419998,97958.273438,25.35,115.1,52.112499,PM2.5,3651
34.279999,42.209999,15.420000,8.300000,0.310000,78.589996,0.590000,1.710000,301.390015,75.779999,96754.179688,25.34,115.25,48.971428,PM2.5,3652
33.020000,40.599998,14.700000,8.050000,0.290000,75.050003,0.580000,2.000000,300.959991,76.949997,95880.773438,25.32,115.4,47.171429,PM2.5,3653
32.369999,39.639999,14.110000,7.830000,0.280000,72.459999,0.900000,2.140000,300.609985,77.669998,95135.773438,25.31,115.55,46.242855,PM2.5,3654
31.889999,39.529999,13.040000,7.830000,0.300000,70.070000,0.700000,1.550000,301.070007,76.510002,95963.437500,25.3,115.69,45.557140,PM2.5,3655
31.020000,38.790001,12.270000,7.850000,0.310000,68.830002,-0.080000,1.100000,300.440002,78.970001,95501.851562,25.28,115.84,44.314285,PM2.5,3656
53.209999,68.839996,30.420000,8.140000,0.770000,110.610001,1.190000,0.800000,299.170013,82.870003,94139.398438,25.57,114.07,72.762497,PM2.5,3788
53.740002,68.320000,31.190001,8.660000,0.800000,110.930000,1.420000,1.030000,298.489990,84.029999,92803.429688,25.56,114.22,73.425003,PM2.5,3789
51.889999,64.690002,32.220001,9.450000,0.810000,117.290001,1.760000,0.930000,299.350006,80.709999,93790.750000,25.55,114.37,71.112503,PM2.5,3790
50.820000,61.990002,29.990000,10.160000,0.750000,122.290001,1.580000,0.390000,301.049988,76.620003,96566.820312,25.53,114.52,69.775002,PM2.5,3791
47.439999,57.330002,23.799999,9.930000,0.580000,111.279999,1.130000,0.070000,301.500000,75.970001,97666.109375,25.52,114.67,65.549995,PM2.5,3792
42.790001,52.009998,19.260000,9.560000,0.440000,99.059998,0.700000,-0.150000,301.570007,75.419998,97855.273438,25.51,114.82,59.737503,PM2.5,3793
39.419998,48.439999,17.400000,9.050000,0.370000,93.110001,0.240000,-0.010000,301.769989,74.559998,97893.726562,25.5,114.97,55.524998,PM2.5,3794
37.020000,45.099998,14.990000,7.800000,0.320000,86.500000,0.370000,0.390000,301.250000,76.050003,97008.906250,25.48,115.11,52.525002,PM2.5,3795
35.299999,42.830002,14.530000,7.670000,0.300000,83.230003,0.960000,1.020000,300.920013,77.680000,96386.281250,25.47,115.26,50.375000,PM2.5,3796
33.360001,40.660000,14.000000,7.660000,0.280000,79.930000,1.090000,1.370000,301.339996,76.250000,96743.500000,25.46,115.41,47.657143,PM2.5,3797
31.549999,38.639999,13.350000,7.410000,0.250000,76.610001,0.800000,1.390000,301.670013,74.690002,96770.968750,25.44,115.56,45.071426,PM2.5,3798
31.100000,38.490002,12.080000,7.210000,0.250000,72.980003,0.110000,1.190000,301.570007,75.260002,96962.867188,25.43,115.71,44.428574,PM2.5,3799
30.530001,37.939999,11.670000,7.280000,0.250000,71.279999,-0.140000,1.350000,300.619995,78.529999,95768.179688,25.42,115.86,43.614288,PM2.5,3800
55.189999,67.800003,26.959999,7.710000,0.700000,105.139999,1.350000,0.370000,297.839996,85.769997,91888.031250,25.72,113.93,75.237495,PM2.5,3929
50.900002,62.189999,26.799999,7.500000,0.680000,107.169998,1.860000,0.420000,299.670013,80.790001,94766.976562,25.7,114.08,69.875000,PM2.5,3930
48.580002,58.529999,28.180000,7.710000,0.660000,113.150002,1.620000,0.840000,299.850006,80.870003,95087.703125,25.69,114.23,66.975006,PM2.5,3931
49.919998,59.619999,27.950001,8.830000,0.670000,116.779999,1.530000,1.030000,299.679993,81.180000,94741.953125,25.68,114.38,68.649994,PM2.5,3932
48.380001,57.849998,25.570000,9.530000,0.590000,117.940002,1.080000,0.250000,301.160004,77.610001,97099.148438,25.67,114.53,66.724998,PM2.5,3933
46.860001,56.470001,20.959999,9.720000,0.480000,106.440002,0.270000,-0.500000,301.839996,76.080002,98726.796875,25.66,114.68,64.824997,PM2.5,3934
44.209999,53.250000,17.809999,9.420000,0.390000,98.379997,0.110000,-0.030000,301.600006,75.900002,98281.148438,25.64,114.83,61.512497,PM2.5,3935
40.520000,49.119999,16.350000,8.690000,0.350000,93.040001,0.260000,0.460000,301.220001,75.760002,97102.367188,25.63,114.98,56.900002,PM2.5,3936
37.860001,45.450001,14.870000,7.500000,0.310000,90.339996,0.630000,0.890000,300.559998,77.570000,95855.031250,25.62,115.13,53.575001,PM2.5,3937
36.119999,43.090000,14.020000,7.190000,0.290000,86.680000,1.190000,0.970000,300.489990,77.959999,95548.460938,25.61,115.28,51.399998,PM2.5,3938
34.459999,41.130001,13.400000,7.210000,0.280000,83.699997,1.260000,0.850000,301.019989,76.970001,96434.476562,25.59,115.43,49.228569,PM2.5,3939
32.619999,39.040001,12.640000,7.150000,0.250000,80.370003,0.750000,0.570000,301.459991,75.660004,97036.726562,25.58,115.58,46.599998,PM2.5,3940
31.660000,38.450001,11.860000,7.370000,0.250000,75.589996,-0.090000,1.000000,301.559998,75.239998,97244.937500,25.57,115.72,45.228573,PM2.5,3941
31.000000,37.910000,11.440000,7.510000,0.240000,72.099998,-0.230000,1.610000,300.799988,77.379997,96092.882812,25.55,115.87,44.285713,PM2.5,3942
31.559999,38.389999,10.980000,7.870000,0.240000,69.959999,0.590000,1.660000,299.429993,81.339996,93966.976562,25.54,116.02,45.085712,PM2.5,3943
49.259998,57.270000,23.420000,6.880000,0.540000,104.570000,1.980000,0.550000,298.839996,81.769997,92975.492188,25.84,114.1,67.824997,PM2.5,4071
44.470001,52.110001,23.059999,6.840000,0.510000,109.199997,1.640000,0.290000,300.869995,76.839996,96343.226562,25.83,114.25,61.837502,PM2.5,4072
43.799999,51.410000,21.990000,7.310000,0.470000,111.370003,1.090000,0.270000,300.820007,78.459999,96705.210938,25.81,114.4,61.000000,PM2.5,4073
45.689999,53.779999,19.549999,8.300000,0.440000,107.889999,0.370000,-0.570000,301.359985,77.550003,97812.812500,25.8,114.55,63.362499,PM2.5,4074
50.200001,59.259998,20.209999,10.030000,0.420000,103.779999,-0.130000,-1.160000,301.709991,77.959999,98969.296875,25.79,114.69,69.000000,PM2.5,4075
48.220001,57.290001,19.490000,10.480000,0.390000,97.010002,-0.080000,-0.320000,301.579987,76.980003,98397.101562,25.78,114.84,66.525002,PM2.5,4076
43.849998,52.000000,17.309999,9.390000,0.350000,93.510002,0.350000,0.590000,301.079987,76.760002,96966.828125,25.77,114.99,61.062500,PM2.5,4077
39.400002,46.529999,15.470000,7.980000,0.310000,92.279999,0.940000,0.980000,301.089996,76.290001,96569.101562,25.75,115.14,55.500000,PM2.5,4078
36.970001,43.410000,13.720000,7.250000,0.290000,87.760002,1.240000,0.990000,301.209991,75.570000,96455.937500,25.74,115.29,52.462502,PM2.5,4079
35.259998,41.070000,13.020000,6.950000,0.270000,86.110001,1.230000,0.770000,300.950012,76.690002,96099.070312,25.73,115.44,50.324997,PM2.5,4080
34.049999,39.480000,11.870000,6.870000,0.250000,82.400002,0.910000,0.550000,301.200012,76.290001,96711.281250,25.71,115.59,48.642857,PM2.5,4081
32.049999,37.599998,11.830000,7.240000,0.240000,80.209999,0.290000,0.980000,301.559998,75.440002,97409.679688,25.7,115.74,45.785713,PM2.5,4082
30.950001,36.610001,11.280000,7.460000,0.240000,75.570000,-0.020000,1.950000,301.109985,76.209999,96412.218750,25.69,115.89,44.214287,PM2.5,4083
30.559999,35.959999,11.030000,7.760000,0.230000,74.699997,0.540000,1.980000,299.940002,78.910004,94354.343750,25.67,116.04,43.657143,PM2.5,4084
50.709999,57.740002,20.010000,6.520000,0.430000,100.839996,1.580000,0.870000,297.709991,85.230003,91464.140625,25.97,114.11,69.637497,PM2.5,4213
45.990002,52.889999,19.170000,6.420000,0.410000,104.180000,1.370000,0.100000,299.709991,80.360001,94661.367188,25.96,114.26,63.737503,PM2.5,4214
44.490002,51.110001,17.620001,6.510000,0.380000,105.070000,0.910000,-0.310000,300.140015,79.870003,95510.953125,25.95,114.41,61.862503,PM2.5,4215
47.509998,54.340000,16.680000,7.360000,0.370000,103.089996,0.220000,-1.350000,300.920013,78.720001,97136.023438,25.94,114.56,65.637497,PM2.5,4216
54.930000,62.910000,20.129999,9.520000,0.400000,100.529999,-0.330000,-1.590000,301.239990,79.949997,98379.703125,25.93,114.71,74.912498,PM2.5,4217
57.880001,66.610001,22.090000,10.960000,0.410000,95.760002,-0.280000,-1.170000,301.109985,79.820000,97967.859375,25.91,114.86,78.599998,PM2.5,4218
52.340000,60.270000,20.230000,10.690000,0.370000,92.730003,0.380000,-0.230000,301.179993,78.300003,97729.093750,25.9,115.01,71.675003,PM2.5,4219
45.139999,52.099998,17.740000,9.450000,0.330000,90.470001,1.040000,0.160000,301.649994,75.779999,97864.187500,25.89,115.16,62.674999,PM2.5,4220
40.349998,46.750000,15.670000,8.390000,0.310000,87.500000,1.190000,0.520000,301.940002,73.879997,97788.468750,25.87,115.31,56.687500,PM2.5,4221
37.580002,43.450001,14.060000,7.760000,0.290000,84.980003,1.170000,0.600000,301.760010,74.110001,97256.617188,25.86,115.46,53.225002,PM2.5,4222
35.080002,40.299999,12.140000,7.040000,0.260000,82.720001,0.910000,0.610000,301.589996,74.870003,97160.648438,25.85,115.61,50.100002,PM2.5,4223
33.439999,38.529999,11.440000,7.080000,0.250000,80.709999,0.540000,0.900000,301.519989,75.430000,97382.968750,25.83,115.76,47.771427,PM2.5,4224
30.950001,35.970001,11.280000,7.360000,0.240000,79.080002,0.380000,1.790000,301.660004,74.620003,97198.843750,25.82,115.9,44.214287,PM2.5,4225
29.650000,34.459999,11.050000,7.960000,0.230000,76.870003,0.360000,1.860000,301.269989,75.019997,96254.632812,25.81,116.05,42.357143,PM2.5,4226
47.099998,52.750000,16.110001,5.890000,0.350000,100.400002,0.970000,-0.310000,299.359985,81.760002,94420.492188,26.1,114.27,65.125000,PM2.5,4356
47.889999,53.240002,14.950000,5.890000,0.330000,100.000000,0.490000,-0.640000,298.959991,84.570000,94260.531250,26.08,114.42,66.112503,PM2.5,4357
54.110001,59.849998,16.500000,6.490000,0.350000,99.639999,0.320000,-1.720000,299.739990,83.349998,95738.992188,26.07,114.57,73.887497,PM2.5,4358
56.950001,62.840000,19.190001,6.640000,0.360000,99.650002,0.160000,-1.830000,300.829987,81.150002,97498.250000,26.06,114.72,77.437500,PM2.5,4359
