PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
13.620000,17.990000,9.730000,11.010000,0.320000,53.049999,2.640000,-4.290000,268.709991,51.290001,98202.203125,40.94,125.71,19.457142,PM2.5,32314
13.850000,16.850000,8.900000,10.180000,0.300000,53.020000,1.340000,-3.130000,269.329987,50.740002,99244.171875,40.91,125.89,19.785715,PM2.5,32315
13.770000,18.170000,9.750000,11.120000,0.310000,53.480000,3.240000,-5.100000,267.250000,55.099998,96377.710938,41.07,125.75,19.671429,PM2.5,32564
13.900000,17.299999,9.260000,10.440000,0.300000,53.230000,2.160000,-3.940000,268.339996,51.970001,97950.796875,41.05,125.92,19.857141,PM2.5,32565
14.390000,18.389999,9.940000,11.560000,0.310000,53.259998,3.700000,-4.960000,266.220001,58.119999,95366.609375,41.2,125.78,20.557144,PM2.5,32801
14.550000,17.879999,9.770000,11.140000,0.300000,53.130001,3.900000,-4.840000,266.130005,57.650002,95101.351562,41.18,125.96,20.785715,PM2.5,32802
15.470000,18.440001,10.200000,11.460000,0.300000,51.919998,2.430000,-3.610000,267.440002,53.180000,96870.929688,41.15,126.13,22.100000,PM2.5,32803
15.100000,20.100000,10.110000,12.500000,0.330000,52.799999,3.240000,-3.750000,267.589996,53.310001,97360.640625,41.36,125.64,21.571428,PM2.5,33027
15.970000,20.129999,10.630000,12.590000,0.320000,52.200001,3.350000,-3.780000,266.579987,56.689999,96199.437500,41.34,125.81,22.814285,PM2.5,33028
15.480000,18.930000,10.120000,11.700000,0.310000,52.740002,4.390000,-4.540000,264.839996,61.919998,93727.796875,41.31,125.99,22.114285,PM2.5,33029
15.480000,18.559999,9.400000,11.140000,0.300000,52.610001,4.020000,-4.420000,265.059998,60.369999,93793.976562,41.28,126.17,22.114285,PM2.5,33030
15.180000,17.459999,8.810000,9.880000,0.290000,52.869999,2.220000,-3.090000,266.859985,54.689999,96345.921875,41.26,126.34,21.685715,PM2.5,33031
13.060000,18.900000,10.900000,12.500000,0.330000,53.790001,4.990000,-3.730000,266.730011,54.369999,96063.531250,41.52,125.5,18.900000,PM10,33246
15.010000,19.620001,10.530000,13.110000,0.330000,52.080002,3.770000,-3.320000,267.059998,54.290001,96709.210938,41.49,125.67,21.442858,PM2.5,33247
17.180000,21.510000,12.340000,14.820000,0.330000,50.230000,3.260000,-2.930000,266.510010,56.669998,96203.773438,41.47,125.85,24.542858,PM2.5,33248
16.120001,19.570000,10.940000,12.920000,0.320000,51.529999,4.090000,-3.590000,264.640015,62.549999,93688.890625,41.44,126.03,23.028572,PM2.5,33249
15.340000,18.309999,9.450000,11.400000,0.300000,52.619999,4.740000,-4.180000,263.649994,65.430000,92240.226562,41.41,126.2,21.914286,PM2.5,33250
14.950000,17.280001,9.060000,10.470000,0.290000,52.750000,3.420000,-3.550000,265.269989,59.160000,94153.640625,41.39,126.38,21.357143,PM2.5,33251
11.790000,18.629999,11.580000,12.870000,0.340000,54.630001,5.270000,-3.430000,266.390015,54.220001,95638.226562,41.68,125.36,18.629999,PM10,33461
