PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
17.049999,33.000000,9.000000,12.630000,0.360000,70.680000,-3.220000,9.040000,298.019989,90.949997,100641.046875,38.82,121.12,33.000000,PM10,26994
17.820000,35.380001,8.410000,12.750000,0.370000,72.029999,-2.860000,9.580000,298.119995,90.300003,100529.132812,38.95,121.15,35.380001,PM10,27245
15.430000,28.900000,7.830000,11.270000,0.360000,70.610001,-1.950000,8.670000,299.010010,86.010002,100183.328125,38.93,121.32,28.900000,PM10,27246
15.690000,30.910000,7.320000,12.580000,0.460000,60.650002,-1.190000,8.550000,298.559998,88.459999,100077.726562,38.91,121.49,30.910000,PM10,27247
14.050000,28.139999,5.810000,12.600000,0.470000,55.529999,-0.780000,7.120000,298.649994,87.400002,100467.289062,38.89,121.66,28.139999,PM10,27248
16.110001,29.940001,6.720000,13.650000,0.490000,53.279999,-1.620000,6.960000,299.049988,85.559998,100219.140625,39.15,121.72,29.940001,PM10,27755
13.450000,27.280001,4.390000,7.780000,0.270000,55.990002,-1.110000,7.940000,297.480011,93.930000,100176.140625,39.13,121.89,27.280001,PM10,27756
8.670000,22.930000,4.590000,5.260000,0.110000,39.860001,-1.600000,9.690000,296.260010,99.790001,100866.078125,39.02,122.75,22.930000,PM10,27757
16.270000,29.700001,6.280000,13.380000,0.480000,50.730000,-1.540000,6.570000,299.459991,83.879997,100461.531250,39.29,121.74,29.700001,PM10,28012
13.290000,26.200001,4.550000,8.030000,0.290000,54.029999,-1.300000,7.190000,298.250000,89.769997,100319.953125,39.27,121.92,26.200001,PM10,28013
11.240000,23.820000,4.260000,5.960000,0.200000,52.240002,-0.840000,7.500000,297.510010,94.269997,100621.023438,39.24,122.09,23.820000,PM10,28014
18.219999,33.259998,12.020000,13.070000,0.400000,64.010002,-2.770000,8.310000,299.100006,85.129997,100622.648438,39.46,121.43,33.259998,PM10,28272
17.889999,33.590000,7.570000,14.450000,0.500000,55.150002,-1.640000,7.530000,299.290009,84.629997,100492.226562,39.44,121.6,33.590000,PM10,28273
16.700001,30.120001,5.620000,13.300000,0.480000,49.209999,-1.520000,5.950000,299.480011,83.900002,100416.007812,39.42,121.77,30.120001,PM10,28274
14.040000,26.750000,4.290000,8.270000,0.310000,52.320000,-1.790000,6.400000,298.570007,88.489998,100425.460938,39.4,121.94,26.750000,PM10,28275
12.500000,24.670000,4.310000,6.240000,0.210000,51.580002,-1.340000,6.380000,297.820007,92.599998,100560.101562,39.38,122.12,24.670000,PM10,28276
17.389999,30.459999,11.430000,12.060000,0.380000,61.090000,-2.070000,8.240000,299.880005,81.459999,100453.367188,39.6,121.45,30.459999,PM10,28536
