PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
25.830000,36.450001,11.400000,9.860000,0.490000,65.589996,0.250000,2.010000,278.329987,27.959999,82952.296875,37.46,104.23,36.900002,PM2.5,22657
16.990000,21.360001,7.550000,4.890000,0.310000,69.760002,2.640000,1.270000,279.459991,21.950001,82931.609375,37.6,103.89,24.271429,PM2.5,22909
18.209999,23.200001,8.640000,6.360000,0.310000,68.290001,1.160000,1.130000,279.119995,23.930000,83567.507812,37.6,104.06,26.014284,PM2.5,22910
22.559999,29.000000,9.580000,6.750000,0.370000,66.760002,0.430000,2.540000,278.489990,26.520000,83146.890625,37.6,104.23,32.228569,PM2.5,22911
24.500000,31.299999,9.680000,6.310000,0.390000,66.720001,1.260000,3.150000,278.709991,27.629999,83445.382812,37.6,104.4,35.000000,PM2.5,22912
26.900000,34.459999,10.500000,6.930000,0.420000,65.309998,1.680000,3.090000,279.309998,28.350000,84302.242188,37.6,104.57,38.428570,PM2.5,22913
30.530001,38.950001,12.480000,8.480000,0.460000,61.910000,1.550000,3.570000,279.899994,29.990000,85111.460938,37.6,104.74,43.614288,PM2.5,22914
33.930000,43.389999,15.590000,10.470000,0.500000,59.040001,1.210000,3.740000,280.779999,31.110001,86460.632812,37.6,104.91,48.471428,PM2.5,22915
17.379999,20.770000,10.820000,4.130000,0.280000,70.760002,1.690000,1.260000,279.570007,23.270000,84177.359375,37.73,103.89,24.828569,PM2.5,23162
17.750000,20.860001,9.450000,4.930000,0.260000,69.120003,0.720000,1.720000,278.929993,24.490000,83968.093750,37.73,104.06,25.357143,PM2.5,23163
20.280001,24.100000,8.920000,5.310000,0.290000,67.629997,0.430000,2.870000,278.779999,25.150000,83655.507812,37.73,104.23,28.971430,PM2.5,23164
22.270000,26.950001,9.230000,5.270000,0.330000,66.980003,1.080000,3.140000,279.040009,25.700001,83985.593750,37.73,104.4,31.814287,PM2.5,23165
24.610001,30.389999,10.280000,5.900000,0.370000,64.959999,1.440000,2.990000,279.589996,26.379999,84832.140625,37.73,104.57,35.157143,PM2.5,23166
28.490000,35.540001,12.520000,7.570000,0.420000,61.580002,0.840000,3.050000,279.859985,28.610001,85467.367188,37.74,104.74,40.700001,PM2.5,23167
33.090000,42.270000,17.420000,11.040000,0.500000,57.930000,0.230000,2.580000,279.779999,31.219999,85878.640625,37.74,104.91,47.271427,PM2.5,23168
38.779999,54.709999,39.099998,22.030001,0.750000,51.799999,-0.610000,1.540000,279.850006,31.459999,86065.898438,37.74,105.09,54.724998,PM2.5,23169
41.340000,59.259998,39.630001,26.570000,0.830000,49.700001,-1.830000,1.310000,279.529999,31.570000,85976.546875,37.74,105.26,57.924999,PM2.5,23170
43.669998,64.570000,45.990002,34.330002,0.900000,45.500000,-2.660000,0.990000,278.950012,31.780001,85595.546875,37.73,105.43,60.837498,PM2.5,23171
47.330002,72.410004,57.459999,44.540001,1.000000,40.049999,-2.360000,0.560000,278.269989,33.540001,85588.093750,37.73,105.6,65.412506,PM2.5,23172
45.400002,62.450001,18.969999,8.200000,0.730000,61.779999,2.200000,4.300000,278.790009,34.650002,86599.523438,37.7,108.17,63.000000,PM2.5,23187
44.250000,61.709999,21.230000,10.060000,0.890000,60.320000,2.260000,4.510000,278.670013,34.299999,86851.062500,37.69,108.34,61.562500,PM2.5,23188
43.259998,62.040001,22.950001,12.200000,1.070000,58.779999,2.560000,4.930000,278.519989,34.070000,86945.851562,37.69,108.51,60.324997,PM2.5,23189
43.029999,63.970001,28.100000,17.150000,1.240000,55.500000,3.070000,4.960000,278.519989,32.869999,86697.187500,37.69,108.68,60.037498,PM2.5,23190
19.530001,25.790001,19.270000,4.160000,0.350000,71.470001,1.950000,1.550000,279.230011,23.010000,83867.671875,37.86,103.54,27.900002,PM2.5,23416
18.709999,23.580000,18.430000,3.870000,0.330000,71.580002,1.940000,1.220000,279.320007,23.690001,84301.296875,37.86,103.71,26.728571,PM2.5,23417
18.100000,22.170000,15.300000,3.780000,0.300000,71.419998,1.200000,1.300000,279.160004,24.299999,84532.890625,37.87,103.88,25.857143,PM2.5,23418
17.950001,20.780001,11.240000,4.340000,0.260000,70.370003,0.430000,2.210000,278.899994,24.500000,84500.382812,37.87,104.06,25.642859,PM2.5,23419
19.230000,22.480000,8.920000,4.720000,0.280000,68.959999,0.250000,3.080000,279.040009,24.150000,84441.640625,37.87,104.23,27.471428,PM2.5,23420
21.059999,25.370001,9.170000,4.880000,0.320000,67.889999,0.740000,3.190000,279.200012,24.490000,84613.203125,37.87,104.4,30.085714,PM2.5,23421
23.090000,28.600000,10.090000,5.660000,0.370000,64.889999,0.870000,2.890000,279.480011,25.170000,85037.601562,37.87,104.57,32.985714,PM2.5,23422
26.920000,33.820000,12.400000,7.450000,0.430000,61.619999,0.150000,2.830000,279.450012,27.250000,85250.953125,37.87,104.74,38.457142,PM2.5,23423
31.629999,40.840000,17.080000,11.050000,0.510000,57.919998,-0.050000,3.080000,279.309998,29.940001,85271.453125,37.87,104.91,45.185715,PM2.5,23424
36.849998,51.320000,31.360001,19.920000,0.710000,52.919998,-0.600000,3.470000,279.350006,31.559999,85444.500000,37.87,105.09,52.312500,PM2.5,23425
39.570000,57.130001,36.590000,26.950001,0.800000,49.380001,-1.950000,3.160000,279.140015,31.480000,85625.539062,37.87,105.26,55.712502,PM2.5,23426
41.779999,62.930000,45.529999,36.580002,0.870000,44.139999,-2.730000,2.490000,278.549988,31.000000,85352.210938,37.87,105.43,58.474998,PM2.5,23427
45.299999,72.040001,62.720001,50.610001,0.970000,37.490002,-2.360000,1.530000,277.700012,31.740000,85128.867188,37.87,105.6,63.262501,NO2,23428
49.790001,86.949997,94.699997,72.230003,1.170000,27.879999,-1.180000,-0.060000,277.760010,31.090000,86439.859375,37.87,105.77,90.287506,NO2,23429
48.360001,65.779999,19.770000,8.360000,0.570000,62.080002,1.920000,3.080000,278.320007,36.770000,86545.007812,37.84,107.83,66.699997,PM2.5,23441
46.650002,62.799999,18.139999,7.440000,0.570000,62.259998,1.540000,2.850000,278.299988,35.560001,86560.312500,37.84,108.0,64.562500,PM2.5,23442
44.610001,59.450001,17.639999,7.000000,0.590000,62.090000,1.530000,2.790000,278.279999,34.860001,86720.218750,37.83,108.17,62.012501,PM2.5,23443
42.599998,56.840000,18.629999,7.490000,0.660000,62.630001,1.840000,3.110000,278.440002,33.119999,87014.062500,37.83,108.35,59.500000,PM2.5,23444
41.849998,57.029999,19.870001,8.800000,0.800000,61.330002,2.250000,3.700000,278.570007,32.910000,87454.726562,37.83,108.52,58.562500,PM2.5,23445
41.799999,58.610001,23.740000,12.160000,0.970000,58.639999,2.680000,3.910000,278.779999,32.110001,87611.781250,37.82,108.69,58.500000,PM2.5,23446
21.780001,32.790001,22.610001,4.380000,0.380000,72.290001,0.980000,1.720000,279.119995,23.030001,84498.351562,38.0,103.37,32.790001,PM10,23672
20.959999,30.090000,22.360001,4.110000,0.390000,71.919998,1.280000,1.570000,279.260010,23.639999,84800.656250,38.0,103.54,30.090000,PM10,23673
19.910000,26.799999,21.350000,3.780000,0.370000,71.599998,1.090000,1.390000,279.209991,24.100000,85033.046875,38.0,103.71,28.442858,PM2.5,23674
19.000000,24.520000,17.410000,3.700000,0.340000,71.199997,0.600000,1.690000,279.040009,24.389999,85024.656250,38.0,103.88,27.142857,PM2.5,23675
18.240000,21.440001,12.380000,4.030000,0.280000,70.169998,0.230000,2.520000,278.929993,24.150000,84964.203125,38.0,104.05,26.057142,PM2.5,23676
18.590000,21.900000,8.990000,4.350000,0.280000,69.070000,0.140000,3.080000,279.170013,23.510000,85111.968750,38.0,104.23,26.557142,PM2.5,23677
20.139999,24.540001,9.030000,4.640000,0.320000,67.790001,0.460000,3.250000,279.359985,23.600000,85297.023438,38.01,104.4,28.771427,PM2.5,23678
21.879999,27.480000,9.880000,5.530000,0.370000,64.550003,0.420000,3.120000,279.589996,24.110001,85524.601562,38.01,104.57,31.257141,PM2.5,23679
25.580000,32.639999,12.210000,7.390000,0.440000,61.430000,0.080000,3.170000,279.769989,25.180000,85800.328125,38.01,104.74,36.542858,PM2.5,23680
29.860001,39.220001,16.760000,11.040000,0.530000,57.830002,0.030000,3.760000,279.899994,27.110001,85950.867188,38.01,104.91,42.657143,PM2.5,23681
34.790001,49.029999,28.760000,19.030001,0.700000,52.830002,-1.110000,4.120000,279.630005,29.559999,86090.898438,38.01,105.09,49.700001,PM2.5,23682
37.580002,55.180000,35.290001,26.379999,0.780000,49.119999,-2.810000,3.810000,279.029999,30.209999,86043.250000,38.01,105.26,53.225002,PM2.5,23683
39.730000,61.279999,45.240002,35.080002,0.850000,44.590000,-3.390000,2.860000,278.089996,30.129999,85375.046875,38.01,105.43,55.912498,PM2.5,23684
42.090000,68.930000,59.950001,46.009998,0.930000,40.060001,-2.670000,1.360000,277.179993,30.120001,85222.921875,38.01,105.6,59.465000,PM10,23685
43.939999,79.980003,84.510002,66.300003,1.110000,32.529999,-1.340000,-0.360000,277.589996,28.540001,86762.179688,38.0,105.77,82.875000,NO2,23686
49.980000,65.820000,19.690001,8.610000,0.580000,62.330002,0.820000,3.750000,278.160004,38.259998,86632.046875,37.98,107.49,68.724998,PM2.5,23696
48.980000,65.599998,21.129999,8.630000,0.570000,62.230000,1.010000,3.780000,278.040009,37.590000,86640.828125,37.98,107.66,67.474998,PM2.5,23697
46.389999,62.540001,18.969999,7.560000,0.540000,63.150002,1.380000,2.960000,277.940002,35.900002,86556.281250,37.98,107.84,64.237503,PM2.5,23698
44.250000,58.610001,17.490000,6.570000,0.500000,63.680000,1.240000,2.460000,277.899994,34.230000,86616.179688,37.97,108.01,61.562500,PM2.5,23699
41.939999,54.419998,16.660000,5.780000,0.490000,64.110001,1.100000,2.220000,277.989990,34.310001,86700.906250,37.97,108.18,58.674999,PM2.5,23700
40.130001,51.500000,16.629999,5.580000,0.500000,64.010002,1.160000,1.970000,278.140015,33.200001,86963.796875,37.96,108.35,56.412502,PM2.5,23701
39.810001,51.650002,17.290001,6.250000,0.580000,62.419998,1.150000,1.890000,278.140015,32.020000,87467.289062,37.96,108.52,56.012501,PM2.5,23702
40.270000,53.299999,19.280001,7.920000,0.690000,59.529999,1.460000,1.660000,278.230011,31.820000,87920.273438,37.96,108.69,56.587502,PM2.5,23703
23.160000,38.250000,22.000000,4.140000,0.480000,71.900002,0.490000,1.350000,278.899994,24.580000,85247.781250,38.13,103.54,38.250000,PM10,23927
21.219999,31.370001,20.830000,3.660000,0.420000,71.389999,0.500000,1.440000,278.950012,24.500000,85413.523438,38.14,103.71,31.370001,PM10,23928
19.540001,26.129999,17.110001,3.520000,0.350000,70.760002,0.170000,2.200000,279.019989,24.250000,85462.476562,38.14,103.88,27.914288,PM2.5,23929
18.410000,21.930000,12.700000,3.760000,0.290000,69.830002,-0.100000,2.690000,279.029999,23.750000,85478.539062,38.14,104.05,26.299999,PM2.5,23930
18.330000,21.719999,9.190000,4.030000,0.280000,68.769997,0.070000,2.960000,279.239990,23.010000,85664.382812,38.14,104.23,26.185715,PM2.5,23931
19.610001,24.139999,9.050000,4.440000,0.330000,67.370003,0.310000,3.290000,279.500000,22.860001,85894.820312,38.14,104.4,28.014286,PM2.5,23932
21.110001,26.860001,9.880000,5.450000,0.390000,64.169998,0.110000,3.090000,279.760010,23.110001,86162.617188,38.14,104.57,30.157145,PM2.5,23933
25.170000,32.590000,12.600000,7.380000,0.460000,61.930000,-0.040000,3.100000,279.850006,24.160000,86496.226562,38.14,104.74,35.957142,PM2.5,23934
28.080000,37.619999,16.809999,10.590000,0.540000,58.189999,-0.300000,3.490000,280.049988,25.610001,86645.859375,38.14,104.91,40.114285,PM2.5,23935
31.750000,45.259998,25.910000,16.740000,0.670000,54.029999,-1.600000,3.880000,279.600006,27.559999,86518.992188,38.14,105.09,45.357143,PM2.5,23936
35.480000,52.880001,33.680000,24.090000,0.760000,49.900002,-3.030000,4.230000,278.880005,29.020000,85916.726562,38.14,105.26,51.440002,PM10,23937
37.500000,59.000000,43.419998,30.719999,0.830000,46.900002,-3.600000,3.580000,277.750000,29.629999,84968.601562,38.14,105.43,54.500000,PM10,23938
38.470001,64.400002,53.470001,35.439999,0.890000,46.130001,-3.000000,1.660000,276.850006,29.360001,84824.382812,38.14,105.6,57.200001,PM10,23939
48.259998,67.370003,27.440001,17.959999,0.660000,58.869999,0.680000,3.100000,277.950012,35.070000,85733.273438,38.13,106.98,66.574997,PM2.5,23947
47.689999,63.630001,20.200001,9.620000,0.590000,62.740002,0.540000,2.740000,277.839996,36.070000,85827.226562,38.12,107.32,65.862495,PM2.5,23949
47.080002,62.919998,20.570000,8.650000,0.580000,62.700001,0.140000,3.250000,277.809998,36.330002,86657.156250,38.12,107.5,65.100006,PM2.5,23950
46.180000,61.689999,20.709999,7.970000,0.550000,63.599998,0.400000,3.560000,277.910004,35.470001,86620.476562,38.12,107.67,63.974998,PM2.5,23951
44.310001,58.830002,18.330000,6.600000,0.500000,64.339996,0.810000,3.090000,277.660004,34.360001,86406.843750,38.11,107.84,61.637501,PM2.5,23952
42.599998,55.070000,17.090000,5.740000,0.450000,64.980003,0.960000,2.440000,277.529999,33.090000,86441.789062,38.11,108.01,59.500000,PM2.5,23953
40.240002,50.419998,16.260000,5.010000,0.410000,65.790001,0.600000,2.070000,277.609985,32.160000,86540.929688,38.1,108.18,56.550003,PM2.5,23954
38.730000,47.439999,16.059999,4.760000,0.400000,64.870003,0.040000,1.560000,277.609985,32.400002,86761.921875,38.1,108.36,54.662498,PM2.5,23955
38.240002,46.910000,16.570000,5.270000,0.450000,62.560001,-0.580000,0.890000,277.589996,32.259998,87258.726562,38.1,108.53,54.050003,PM2.5,23956
38.419998,47.720001,17.650000,6.150000,0.530000,59.340000,-0.810000,0.380000,277.510010,32.340000,87944.320312,38.09,108.7,54.274998,PM2.5,23957
37.259998,46.770000,18.750000,7.140000,0.630000,57.810001,-0.560000,0.080000,277.720001,31.309999,88509.546875,38.09,108.87,52.824997,PM2.5,23958
36.590000,46.369999,19.520000,8.060000,0.680000,57.630001,-0.580000,0.400000,277.799988,29.090000,88800.093750,38.08,109.04,51.987499,PM2.5,23959
25.200001,44.980000,21.570000,4.200000,0.520000,71.389999,-0.130000,1.320000,278.730011,24.809999,85545.976562,38.27,103.53,44.980000,PM10,24184
22.420000,35.049999,20.100000,3.630000,0.440000,70.820000,0.090000,1.660000,278.850006,24.410000,85667.507812,38.27,103.71,35.049999,PM10,24185
19.700001,26.860001,16.160000,3.340000,0.350000,69.230003,-0.170000,2.020000,279.130005,23.799999,85823.703125,38.27,103.88,28.142859,PM2.5,24186
18.900000,22.690001,12.860000,3.580000,0.290000,69.080002,-0.340000,2.790000,279.149994,23.430000,85964.242188,38.27,104.05,27.000000,PM2.5,24187
18.760000,22.330000,9.610000,3.850000,0.290000,68.040001,0.000000,2.880000,279.260010,22.900000,86141.296875,38.28,104.22,26.800001,PM2.5,24188
19.440001,24.129999,9.130000,4.280000,0.340000,65.690002,-0.020000,2.640000,279.500000,22.570000,86355.117188,38.28,104.4,27.771429,PM2.5,24189
22.030001,28.350000,10.800000,5.650000,0.410000,64.019997,-0.380000,2.740000,279.380005,23.400000,86566.476562,38.28,104.57,31.471430,PM2.5,24190
25.320000,33.270000,13.410000,7.390000,0.490000,61.669998,-0.440000,2.970000,279.429993,24.400000,86730.921875,38.28,104.74,36.171429,PM2.5,24191
27.080000,36.860001,16.940001,9.960000,0.550000,58.570000,-0.660000,3.370000,279.679993,25.160000,86690.906250,38.28,104.91,38.685715,PM2.5,24192
29.650000,42.650002,23.969999,14.930000,0.650000,55.200001,-1.300000,4.000000,279.510010,26.030001,86526.593750,38.28,105.09,42.650002,PM10,24193
33.369999,50.500000,32.230000,22.000000,0.740000,50.759998,-2.460000,4.850000,279.279999,27.209999,86205.492188,38.28,105.26,50.250000,PM10,24194
