PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
34.470001,48.639999,7.910000,35.910000,0.720000,72.739998,-3.870000,-2.040000,296.160004,86.110001,101403.460938,30.84,121.14,49.242859,PM2.5,12406
36.090000,48.480000,8.640000,31.350000,0.620000,84.250000,-4.140000,-2.240000,296.649994,83.989998,101422.921875,30.82,121.3,51.362499,PM2.5,12407
37.470001,52.020000,8.390000,48.369999,0.870000,46.610001,-3.860000,-1.190000,295.869995,85.449997,101401.476562,31.0,121.01,60.462498,NO2,12650
36.599998,50.040001,7.130000,52.480000,0.870000,45.730000,-3.480000,-1.420000,295.970001,85.559998,101417.859375,30.98,121.17,65.599998,NO2,12651
34.619999,47.250000,7.270000,48.730000,0.800000,59.869999,-3.230000,-1.570000,296.100006,84.480003,101429.453125,30.95,121.32,60.912498,NO2,12652
35.259998,47.439999,8.240000,33.860001,0.620000,79.820000,-3.070000,-1.750000,296.359985,83.160004,101430.460938,30.93,121.48,50.324997,PM2.5,12653
35.849998,46.590000,7.790000,18.360001,0.500000,89.180000,-3.240000,-1.790000,296.829987,81.080002,101426.359375,30.91,121.64,51.062500,PM2.5,12654
36.180000,45.169998,7.530000,6.100000,0.420000,103.010002,-3.870000,-1.960000,297.559998,77.940002,101444.476562,30.89,121.79,51.474998,PM2.5,12655
42.790001,55.680000,10.440000,49.029999,0.970000,52.610001,-3.730000,-0.690000,296.220001,82.699997,101426.351562,31.13,121.03,61.287498,NO2,12900
43.360001,54.060001,9.060000,58.029999,1.050000,39.950001,-3.340000,-0.910000,296.329987,83.209999,101430.773438,31.11,121.19,72.537498,NO2,12901
40.040001,49.419998,8.250000,60.590000,1.030000,42.540001,-3.090000,-1.100000,296.320007,83.230003,101429.429688,31.09,121.35,75.737503,NO2,12902
32.700001,43.720001,8.550000,49.889999,0.760000,71.309998,-2.890000,-1.300000,296.480011,82.589996,101424.828125,31.07,121.5,62.362499,NO2,12903
30.530001,41.599998,8.030000,32.340000,0.550000,83.959999,-3.100000,-1.530000,296.929993,80.519997,101419.390625,31.05,121.66,43.614288,PM2.5,12904
32.910000,42.119999,7.460000,8.510000,0.420000,102.690002,-3.750000,-2.010000,297.640015,77.330002,101444.078125,31.03,121.82,47.014286,PM2.5,12905
44.740002,56.029999,14.760000,43.660000,0.940000,71.349998,-3.560000,-0.490000,296.700012,81.250000,101424.093750,31.26,121.06,62.175003,PM2.5,13150
45.860001,55.320000,15.490000,51.450001,1.020000,63.759998,-3.460000,-0.730000,296.750000,80.949997,101426.609375,31.24,121.21,64.312500,NO2,13151
41.220001,50.410000,14.960000,51.889999,0.950000,68.739998,-3.360000,-1.010000,296.920013,79.959999,101414.882812,31.22,121.37,64.862503,NO2,13152
33.990002,44.700001,11.760000,44.919998,0.700000,83.680000,-3.310000,-1.330000,296.989990,79.580002,101424.382812,31.2,121.53,56.149998,NO2,13153
30.980000,41.360001,8.880000,28.860001,0.500000,92.580002,-3.590000,-1.650000,297.450012,77.070000,101446.781250,31.18,121.69,44.257141,PM2.5,13154
41.680000,51.700001,18.420000,41.560001,0.830000,83.540001,-3.610000,-1.030000,297.250000,79.040001,101409.156250,31.38,121.24,58.349998,PM2.5,13402
37.770000,47.500000,16.620001,44.889999,0.760000,86.320000,-3.630000,-1.340000,297.399994,78.400002,101431.882812,31.36,121.4,56.112499,NO2,13403
34.500000,44.099998,12.380000,38.849998,0.590000,91.940002,-3.670000,-1.650000,297.500000,77.870003,101459.476562,31.34,121.55,49.285713,PM2.5,13404
36.669998,46.139999,10.140000,14.240000,0.440000,101.839996,-3.390000,-1.640000,297.390015,76.000000,101465.156250,31.63,121.44,52.087498,PM2.5,13908
36.340000,45.520000,8.490000,7.660000,0.400000,104.269997,-3.210000,-1.710000,297.320007,75.599998,101457.296875,31.61,121.6,51.674999,PM2.5,13909
35.580002,43.349998,7.530000,3.430000,0.350000,111.709999,-3.370000,-2.140000,297.359985,76.139999,101475.218750,31.58,121.76,50.725002,PM2.5,13910
36.049999,46.509998,11.430000,14.010000,0.460000,104.820000,-3.730000,-1.650000,297.410004,74.790001,101457.203125,31.78,121.31,51.312500,PM2.5,14164
