PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
42.009998,50.669998,19.129999,7.210000,0.650000,49.290001,5.110000,2.280000,275.000000,88.930000,80030.093750,31.82,109.24,58.762497,PM2.5,12331
47.480000,56.720001,22.100000,7.600000,0.700000,48.080002,3.030000,3.170000,276.579987,88.860001,82998.609375,31.81,109.4,65.599998,PM2.5,12332
52.599998,62.099998,27.020000,8.100000,0.720000,46.080002,1.950000,3.810000,277.250000,93.599998,85556.992188,31.81,109.56,72.000000,PM2.5,12333
40.560001,48.680000,17.049999,7.610000,0.670000,47.730000,4.230000,4.600000,275.410004,93.360001,81288.781250,31.96,109.09,56.950001,PM2.5,12575
43.060001,50.240002,18.360001,7.030000,0.680000,49.480000,5.350000,3.170000,275.410004,86.620003,80315.890625,31.95,109.25,60.075001,PM2.5,12576
47.259998,53.869999,19.920000,7.170000,0.730000,48.360001,4.370000,2.930000,276.160004,83.650002,81099.203125,31.95,109.41,65.324997,PM2.5,12577
52.340000,59.250000,25.379999,7.960000,0.770000,45.820000,1.830000,3.110000,277.190002,88.580002,84533.593750,31.94,109.57,71.675003,PM2.5,12578
41.360001,49.509998,17.590000,10.410000,0.800000,42.849998,3.560000,3.840000,276.320007,95.290001,83138.531250,32.11,108.78,57.950001,PM2.5,12823
38.380001,45.849998,17.459999,9.410000,0.770000,43.480000,3.350000,3.150000,278.130005,88.160004,85356.671875,32.1,108.94,54.225002,PM2.5,12824
38.389999,46.099998,17.420000,8.390000,0.740000,44.529999,3.310000,2.870000,278.339996,85.120003,85344.062500,32.1,109.1,54.237499,PM2.5,12825
41.810001,48.509998,19.330000,8.200000,0.780000,45.619999,3.400000,1.520000,277.809998,84.160004,84283.781250,32.09,109.26,58.512501,PM2.5,12826
46.450001,52.580002,20.910000,8.620000,0.870000,42.900002,2.170000,0.860000,277.619995,84.830002,84620.187500,32.09,109.42,64.312500,PM2.5,12827
51.189999,57.799999,24.840000,9.210000,0.900000,41.180000,-0.470000,1.420000,277.429993,90.010002,86589.453125,32.08,109.58,70.237495,PM2.5,12828
46.689999,60.970001,16.549999,18.760000,1.110000,27.670000,-1.590000,0.150000,279.929993,89.220001,91272.140625,32.27,107.82,64.612495,PM2.5,13067
45.130001,57.560001,16.290001,16.180000,1.030000,31.990000,-0.500000,1.870000,278.450012,93.550003,88949.890625,32.26,107.98,62.662502,PM2.5,13068
42.380001,53.599998,16.510000,15.410000,1.010000,33.709999,0.680000,1.790000,278.179993,91.599998,88201.156250,32.26,108.14,59.225002,PM2.5,13069
40.820000,50.669998,17.900000,13.540000,0.960000,37.040001,0.670000,0.980000,278.779999,90.150002,89008.343750,32.26,108.3,57.275002,PM2.5,13070
39.730000,48.340000,18.959999,12.020000,0.940000,39.639999,2.120000,2.070000,277.570007,92.430000,85932.648438,32.25,108.62,55.912498,PM2.5,13072
