PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
46.529999,99.900002,70.889999,49.810001,1.710000,17.030001,2.800000,0.280000,274.489990,29.219999,95877.289062,34.64,110.37,74.949997,PM10,17726
50.049999,109.389999,75.989998,50.410000,1.950000,15.180000,3.040000,-1.150000,274.149994,30.049999,95475.906250,34.63,110.54,79.695000,PM10,17727
52.730000,114.339996,80.040001,51.139999,2.100000,13.800000,3.010000,-2.240000,274.829987,29.299999,96790.046875,34.62,110.7,82.169998,PM10,17728
52.009998,113.419998,89.830002,54.139999,2.010000,11.570000,0.790000,-0.250000,273.309998,31.750000,93757.226562,34.77,110.38,81.709999,PM10,17983
53.250000,117.809998,87.379997,53.340000,2.170000,11.790000,2.320000,-1.640000,272.779999,32.630001,92840.023438,34.77,110.55,83.904999,PM10,17984
54.349998,120.059998,88.430000,52.279999,2.300000,11.740000,2.660000,-2.860000,273.809998,31.020000,94861.156250,34.76,110.71,85.029999,PM10,17985
52.130001,113.150002,87.169998,49.459999,2.310000,13.290000,2.410000,-3.330000,274.209991,30.000000,95837.109375,34.75,110.88,81.574997,PM10,17986
47.340000,106.250000,94.529999,51.639999,2.090000,12.660000,0.010000,0.940000,274.299988,31.219999,96203.343750,34.91,110.39,78.125000,PM10,18240
48.349998,110.160004,93.010002,47.650002,2.300000,13.690000,1.520000,-0.200000,274.140015,31.150000,96125.039062,34.9,110.56,80.080002,PM10,18241
50.090000,111.889999,89.089996,45.090000,2.410000,14.320000,2.200000,-1.590000,274.029999,31.360001,96327.343750,34.89,110.72,80.945000,PM10,18242
48.889999,108.199997,85.800003,42.150002,2.470000,15.350000,2.820000,-2.760000,273.500000,31.559999,95231.148438,34.89,110.89,79.099998,PM10,18243
48.430000,106.779999,85.050003,42.709999,2.550000,14.580000,3.500000,-3.270000,273.500000,31.330000,95301.640625,34.88,111.05,78.389999,PM10,18244
43.919998,94.820000,74.879997,38.070000,2.350000,17.969999,4.050000,-3.340000,273.529999,31.459999,95255.617188,34.87,111.22,72.410004,PM10,18245
39.869999,83.900002,65.519997,32.169998,2.190000,22.620001,5.070000,-3.300000,273.750000,30.360001,94898.820312,34.86,111.38,66.949997,PM10,18246
36.290001,83.180000,75.339996,36.290001,1.970000,20.570000,-0.120000,-0.580000,274.829987,32.049999,97812.781250,35.04,110.4,66.589996,PM10,18493
40.119999,96.540001,87.650002,38.590000,2.490000,16.049999,0.480000,-1.770000,275.059998,30.250000,98435.937500,35.04,110.57,73.270004,PM10,18494
43.139999,103.120003,91.900002,38.009998,2.800000,15.460000,1.390000,-2.280000,274.690002,31.129999,98076.390625,35.03,110.73,76.559998,PM10,18495
45.040001,104.209999,90.379997,37.849998,2.850000,15.600000,2.290000,-2.420000,274.359985,31.340000,97387.843750,35.02,110.9,77.104996,PM10,18496
