PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
4.100000,4.110000,0.030000,0.120000,0.120000,96.949997,2.220000,-1.960000,260.279999,32.410000,52005.601562,36.04,90.93,5.857143,PM2.5,21330
4.010000,4.020000,0.030000,0.120000,0.120000,98.839996,0.080000,1.820000,263.220001,29.490000,54840.328125,36.15,90.74,5.728572,PM2.5,21575
4.220000,4.240000,0.030000,0.120000,0.120000,97.370003,1.540000,1.210000,262.049988,30.520000,53759.519531,36.17,90.91,6.028571,PM2.5,21576
4.310000,4.330000,0.030000,0.130000,0.120000,96.889999,3.190000,-0.120000,261.920013,31.000000,53609.500000,36.19,91.08,6.157143,PM2.5,21577
1.790000,1.860000,0.220000,1.760000,0.130000,92.180000,5.750000,-2.230000,263.049988,59.860001,53583.238281,34.44,78.93,3.250000,CO,21750
1.650000,1.720000,0.210000,1.320000,0.130000,94.250000,6.210000,-1.540000,261.029999,64.550003,51665.851562,34.47,79.09,3.250000,CO,21751
1.580000,1.640000,0.200000,1.110000,0.130000,93.849998,7.000000,-0.570000,261.230011,60.570000,51454.070312,34.5,79.25,3.250000,CO,21752
1.510000,1.570000,0.190000,0.910000,0.130000,96.550003,6.490000,-0.210000,262.250000,57.759998,52069.968750,34.54,79.41,3.250000,CO,21753
1.480000,1.540000,0.180000,0.790000,0.130000,96.800003,6.130000,-0.590000,262.750000,58.599998,52453.500000,34.57,79.57,3.250000,CO,21754
1.430000,1.500000,0.170000,0.700000,0.130000,97.099998,6.140000,-1.650000,263.260010,57.490002,52863.148438,34.6,79.73,3.250000,CO,21755
4.300000,4.320000,0.050000,0.140000,0.120000,102.330002,1.800000,-1.020000,267.190002,58.810001,55550.660156,35.39,84.11,6.142858,PM2.5,21782
3.980000,4.000000,0.050000,0.140000,0.120000,103.919998,1.560000,-1.180000,267.119995,57.840000,55409.031250,35.42,84.27,5.685714,PM2.5,21783
