PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
25.950001,28.459999,2.040000,3.790000,0.250000,87.709999,-2.820000,1.190000,296.070007,69.339996,97653.039062,26.93,92.9,37.071430,PM2.5,5360
25.049999,27.350000,1.950000,3.570000,0.240000,87.699997,-2.580000,1.260000,295.679993,69.680000,96983.343750,26.94,93.05,35.785713,PM2.5,5361
23.620001,25.740000,1.870000,3.470000,0.230000,87.820000,-2.600000,0.980000,295.640015,68.290001,96626.296875,26.96,93.2,33.742859,PM2.5,5362
22.580000,24.590000,1.800000,3.500000,0.230000,87.389999,-3.160000,0.290000,295.709991,66.699997,96469.156250,26.97,93.35,32.257141,PM2.5,5363
22.230000,24.230000,1.790000,3.630000,0.230000,86.970001,-3.690000,-0.510000,295.649994,66.709999,96571.421875,26.99,93.5,31.757143,PM2.5,5364
22.889999,25.070000,1.850000,3.980000,0.240000,85.750000,-3.520000,-1.320000,296.170013,66.669998,97968.843750,27.0,93.65,32.700001,PM2.5,5365
23.150000,25.160000,2.020000,2.280000,0.220000,88.019997,-2.150000,0.800000,292.649994,65.330002,88801.703125,26.98,92.13,33.071426,PM2.5,5505
21.870001,23.660000,1.850000,2.030000,0.210000,88.730003,-2.040000,0.380000,292.149994,67.300003,87978.867188,27.0,92.28,31.242859,PM2.5,5506
21.410000,23.129999,1.800000,2.090000,0.210000,89.129997,-2.050000,0.020000,292.399994,67.589996,88609.617188,27.02,92.43,30.585714,PM2.5,5507
20.600000,22.270000,1.750000,2.640000,0.210000,89.889999,-1.630000,-0.060000,294.049988,65.220001,92076.570312,27.03,92.58,29.428572,PM2.5,5508
20.459999,22.150000,1.810000,2.700000,0.210000,90.680000,-0.850000,0.780000,295.420013,65.870003,95324.953125,27.05,92.73,29.228571,PM2.5,5509
21.260000,22.969999,1.830000,2.770000,0.220000,89.779999,-0.440000,1.200000,295.250000,68.800003,95063.390625,27.06,92.88,30.371429,PM2.5,5510
