AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
75.250000,55.200001,65.410004,27.070000,25.530001,1.110000,27.469999,2013-01-01
117.224998,88.779999,101.500000,30.910000,32.830002,1.610000,23.780001,2013-01-02
66.900002,48.520000,55.770000,22.740000,24.000000,1.630000,26.129999,2013-01-03
78.375000,57.700001,55.860001,20.660000,21.320000,1.560000,26.020000,2013-01-04
125.600006,95.480003,81.220001,27.820000,28.280001,1.420000,19.900000,2013-01-05
151.314285,115.919998,103.949997,37.230000,29.639999,1.490000,24.559999,2013-01-06
223.419998,173.419998,150.570007,47.490002,25.530001,1.830000,21.670000,2013-01-07
189.385727,142.570007,127.709999,26.010000,34.250000,1.820000,12.930000,2013-01-08
235.399994,185.399994,155.919998,48.330002,47.549999,1.740000,17.020000,2013-01-09
247.300003,197.300003,156.710007,40.299999,41.860001,2.190000,26.230000,2013-01-10
214.770004,164.770004,136.559998,35.860001,33.880001,1.910000,32.430000,2013-01-11
246.729996,196.729996,147.589996,41.400002,37.570000,2.380000,25.059999,2013-01-12
208.130005,158.130005,141.929993,41.220001,30.350000,2.250000,28.070000,2013-01-13
212.830002,162.830002,153.369995,41.090000,35.919998,2.350000,30.139999,2013-01-14
190.542862,143.380005,114.589996,32.060001,34.980000,1.710000,32.169998,2013-01-15
230.289993,180.289993,132.080002,28.190001,41.599998,2.180000,24.330000,2013-01-16
237.160004,187.160004,155.910004,42.290001,53.950001,2.010000,28.030001,2013-01-17
251.149994,201.149994,159.830002,26.670000,32.770000,1.940000,27.420000,2013-01-18
149.350006,114.480003,89.430000,28.620001,26.280001,1.130000,33.959999,2013-01-19
216.029999,166.029999,123.050003,22.250000,40.189999,1.470000,17.780001,2013-01-20
163.099991,124.169998,64.389999,19.139999,37.389999,1.480000,12.610000,2013-01-21
246.889999,196.889999,133.240005,58.900002,54.189999,2.320000,12.080000,2013-01-22
204.289993,154.289993,148.820007,36.110001,36.750000,2.430000,13.770000,2013-01-23
155.785721,119.050003,95.440002,32.540001,31.160000,2.010000,25.660000,2013-01-24
161.071426,122.750000,131.820007,26.709999,25.600000,2.420000,27.480000,2013-01-25
157.371429,120.160004,110.580002,31.309999,23.740000,1.760000,39.639999,2013-01-26
204.059998,154.059998,145.240005,35.500000,35.730000,1.830000,42.090000,2013-01-27
157.942856,120.559998,138.110001,38.320000,18.469999,1.330000,35.720001,2013-01-28
165.842850,126.089996,147.550003,40.220001,29.809999,1.590000,41.669998,2013-01-29
139.862503,106.889999,124.809998,34.529999,31.510000,1.070000,46.730000,2013-01-30
181.142868,136.800003,152.110001,39.060001,50.709999,1.710000,12.580000,2013-01-31
103.487503,77.790001,56.500000,11.690000,35.320000,2.000000,17.379999,2013-02-01
146.287506,112.029999,89.070000,18.110001,37.090000,2.390000,19.500000,2013-02-02
113.925003,86.139999,95.129997,37.230000,43.740002,2.910000,19.900000,2013-02-03
96.087502,71.870003,56.650002,12.720000,30.879999,1.970000,9.610000,2013-02-04
46.628571,32.639999,19.090000,5.980000,20.600000,1.250000,14.350000,2013-02-05
99.462502,74.570000,59.160000,11.450000,18.639999,1.590000,18.590000,2013-02-06
35.750000,21.920000,13.740000,7.010000,20.170000,1.430000,23.870001,2013-02-07
50.287498,35.230000,20.780001,7.860000,11.930000,0.820000,48.230000,2013-02-08
93.875000,70.099998,56.580002,15.260000,10.540000,0.670000,48.480000,2013-02-09
159.300003,121.510002,103.919998,25.730000,11.170000,1.350000,29.850000,2013-02-10
116.175003,87.940002,76.949997,10.720000,12.160000,1.140000,33.430000,2013-02-11
182.242874,137.570007,89.430000,12.430000,14.740000,1.300000,58.009998,2013-02-12
158.885712,121.220001,97.720001,15.380000,14.970000,1.330000,37.349998,2013-02-13
60.050003,43.040001,35.669998,8.180000,14.390000,1.050000,36.029999,2013-02-14
148.337494,113.669998,85.809998,20.559999,26.709999,1.450000,44.959999,2013-02-15
102.750000,77.199997,82.470001,22.969999,17.830000,1.440000,36.320000,2013-02-16
73.525002,53.820000,52.790001,16.270000,22.500000,1.190000,20.309999,2013-02-17
39.285713,27.500000,15.600000,10.960000,22.100000,1.240000,28.490000,2013-02-18
51.212502,35.970001,24.809999,9.130000,15.920000,1.290000,38.610001,2013-02-19
53.649998,37.919998,31.049999,9.630000,13.760000,0.830000,36.470001,2013-02-20
56.462498,40.169998,35.930000,11.090000,16.600000,0.850000,37.689999,2013-02-21
85.637497,63.509998,62.040001,19.000000,18.219999,0.970000,46.130001,2013-02-22
64.849998,46.880001,59.360001,17.590000,20.010000,1.150000,36.040001,2013-02-23
98.349998,73.680000,89.419998,32.509998,22.520000,1.280000,28.230000,2013-02-24
181.000000,136.699997,134.199997,27.500000,25.100000,1.540000,28.620001,2013-02-25
133.487503,101.790001,66.639999,8.720000,17.719999,1.220000,30.190001,2013-02-26
252.880005,202.880005,148.660004,20.459999,21.940001,1.590000,36.070000,2013-02-27
129.337494,98.470001,106.870003,29.020000,22.389999,1.810000,43.009998,2013-02-28
76.462494,56.169998,47.540001,17.129999,27.799999,1.260000,32.060001,2013-03-01
43.314285,30.320000,39.320000,16.049999,17.730000,0.610000,35.450001,2013-03-02
65.075005,47.060001,58.970001,29.740000,14.810000,0.670000,50.200001,2013-03-03
89.500000,66.599998,91.769997,35.400002,16.719999,0.850000,49.520000,2013-03-04
85.100006,63.080002,95.800003,34.799999,28.139999,1.050000,50.570000,2013-03-05
97.412498,72.930000,101.339996,40.070000,33.980000,1.180000,63.380001,2013-03-06
134.224991,102.379997,130.679993,33.580002,36.580002,1.240000,69.000000,2013-03-07
184.414276,139.089996,172.130005,61.450001,50.830002,1.500000,80.760002,2013-03-08
144.662506,110.730003,149.020004,42.810001,35.840000,1.360000,78.769997,2013-03-09
99.012497,74.209999,134.330002,21.969999,35.450001,1.060000,37.099998,2013-03-10
87.437500,64.949997,92.089996,13.970000,15.150000,0.730000,36.150002,2013-03-11
98.450005,73.760002,103.470001,31.530001,28.840000,1.020000,33.380001,2013-03-12
138.074997,105.459999,116.379997,26.430000,31.360001,1.060000,27.770000,2013-03-13
162.300003,123.610001,126.019997,23.100000,25.290001,1.190000,26.280001,2013-03-14
103.687500,77.949997,104.349998,25.370001,29.090000,1.120000,38.230000,2013-03-15
94.399994,70.519997,87.589996,24.010000,24.870001,1.170000,25.440001,2013-03-16
53.625000,37.900002,34.230000,16.379999,20.209999,0.940000,42.790001,2013-03-17
85.025002,63.020000,79.669998,30.590000,26.480000,1.140000,45.180000,2013-03-18
79.112503,58.290001,75.870003,23.040001,29.740000,1.240000,36.610001,2013-03-19
