AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
216.550003,166.550003,249.820007,91.410004,99.070000,2.410000,15.900000,2013-01-01
193.542847,145.479996,199.740005,77.779999,80.400002,1.600000,24.750000,2013-01-02
86.250000,64.000000,74.910004,31.020000,37.660000,0.890000,44.500000,2013-01-03
114.199997,86.360001,91.389999,27.049999,39.880001,1.140000,18.320000,2013-01-04
115.262497,87.209999,90.320000,29.500000,40.119999,1.290000,12.300000,2013-01-05
155.557144,118.889999,133.559998,37.310001,57.240002,1.850000,14.700000,2013-01-06
172.557129,130.789993,164.279999,37.070000,66.050003,1.840000,22.469999,2013-01-07
272.130005,222.130005,278.149994,52.070000,85.089996,2.700000,20.250000,2013-01-08
283.390015,233.389999,290.339996,52.240002,91.010002,2.830000,26.250000,2013-01-09
213.699997,163.699997,192.070007,56.410000,71.360001,1.800000,11.190000,2013-01-10
241.669998,191.669998,236.919998,52.770000,74.839996,2.160000,10.920000,2013-01-11
303.899994,253.899994,324.559998,58.669998,98.050003,2.630000,14.990000,2013-01-12
337.529999,287.529999,347.799988,73.440002,86.070000,2.670000,7.530000,2013-01-13
296.839996,246.839996,317.100006,69.550003,92.970001,2.590000,8.720000,2013-01-14
278.520020,228.520004,277.440002,61.930000,84.330002,2.390000,20.570000,2013-01-15
231.339996,181.339996,238.309998,45.389999,70.480003,1.970000,20.340000,2013-01-16
304.789978,254.789993,329.910004,45.450001,89.620003,2.750000,23.230000,2013-01-17
239.949997,189.949997,220.190002,39.040001,60.020000,1.950000,7.550000,2013-01-18
225.660004,175.660004,209.699997,52.320000,54.669998,2.000000,7.990000,2013-01-19
132.587494,101.070000,103.980003,47.840000,55.990002,1.460000,22.129999,2013-01-20
120.974998,91.779999,129.550003,37.939999,70.769997,1.730000,19.700001,2013-01-21
157.042862,119.930000,198.259995,44.889999,84.059998,1.950000,38.639999,2013-01-22
210.669998,160.669998,235.240005,50.410000,91.220001,2.220000,41.430000,2013-01-23
204.330002,154.330002,231.149994,50.570000,93.309998,2.310000,36.599998,2013-01-24
214.300003,164.300003,262.480011,82.099998,90.089996,2.290000,28.200001,2013-01-25
213.750000,163.750000,242.009995,50.389999,91.089996,2.220000,39.459999,2013-01-26
237.929993,187.929993,285.609985,67.839996,103.449997,2.800000,41.209999,2013-01-27
228.309998,178.309998,252.639999,82.750000,98.110001,2.300000,37.240002,2013-01-28
230.729996,180.729996,235.619995,86.230003,80.739998,2.060000,12.880000,2013-01-29
