AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
165.399994,125.779999,147.070007,25.040001,41.910000,1.510000,19.000000,2013-01-01
144.412506,110.529999,122.440002,19.360001,30.650000,1.220000,22.100000,2013-01-02
93.400002,69.720001,82.690002,19.450001,26.740000,1.030000,27.690001,2013-01-03
77.525002,57.020000,69.690002,18.900000,25.809999,0.880000,29.450001,2013-01-04
68.312500,49.650002,57.910000,14.280000,22.059999,0.830000,28.730000,2013-01-05
117.387505,88.910004,105.349998,16.559999,31.290001,1.100000,23.250000,2013-01-06
181.585709,137.110001,167.690002,13.860000,33.419998,1.610000,30.320000,2013-01-07
165.871429,126.110001,163.380005,25.250000,44.110001,1.350000,26.420000,2013-01-08
181.171432,136.820007,159.119995,26.330000,45.139999,1.240000,19.900000,2013-01-09
147.850006,113.279999,138.649994,24.799999,42.040001,1.220000,19.629999,2013-01-10
115.812500,87.650002,110.370003,18.959999,36.450001,1.140000,26.150000,2013-01-11
132.750000,101.199997,128.860001,25.459999,41.560001,1.290000,24.940001,2013-01-12
189.928574,142.949997,176.029999,27.090000,45.610001,1.460000,24.590000,2013-01-13
117.700005,89.160004,104.669998,14.390000,24.020000,0.920000,33.090000,2013-01-14
209.740005,159.740005,190.789993,20.920000,44.049999,1.450000,26.170000,2013-01-15
245.550003,195.550003,233.940002,19.200001,44.990002,1.770000,30.100000,2013-01-16
262.710022,212.710007,248.630005,28.340000,49.279999,1.810000,23.280001,2013-01-17
117.025002,88.620003,110.849998,22.020000,34.970001,1.060000,25.629999,2013-01-18
216.470001,166.470001,191.160004,24.650000,37.930000,1.590000,26.900000,2013-01-19
284.020020,234.020004,267.010010,22.420000,47.730000,1.950000,24.670000,2013-01-20
102.200005,76.760002,91.879997,10.630000,19.379999,0.960000,37.119999,2013-01-21
156.600006,119.620003,149.360001,15.470000,26.900000,1.290000,32.180000,2013-01-22
116.237495,87.989998,107.389999,14.460000,23.980000,1.060000,37.680000,2013-01-23
110.662498,83.529999,114.629997,20.790001,26.900000,1.110000,25.370001,2013-01-24
35.728573,25.010000,33.509998,5.920000,9.360000,0.550000,45.959999,2013-01-25
70.474998,51.380001,61.160000,10.690000,17.530001,0.720000,39.340000,2013-01-26
99.987495,74.989998,94.980003,18.540001,24.959999,0.930000,33.619999,2013-01-27
78.937500,58.150002,73.699997,19.070000,20.910000,0.670000,32.650002,2013-01-28
165.942856,126.160004,155.059998,28.860001,39.740002,1.270000,27.299999,2013-01-29
110.412506,83.330002,101.519997,18.690001,34.320000,1.010000,23.290001,2013-01-30
114.650002,86.720001,104.519997,20.490000,27.370001,0.840000,22.450001,2013-01-31
74.562500,54.650002,65.169998,15.200000,19.040001,0.740000,36.889999,2013-02-01
44.128571,30.889999,41.990002,16.809999,23.520000,0.670000,38.029999,2013-02-02
62.674999,45.139999,54.970001,13.510000,23.870001,0.650000,31.200001,2013-02-03
75.500000,55.400002,72.589996,13.400000,23.750000,0.870000,35.799999,2013-02-04
73.525002,53.820000,63.759998,15.300000,22.830000,0.670000,32.720001,2013-02-05
118.250000,89.599998,110.809998,20.090000,29.370001,1.090000,28.070000,2013-02-06
104.625000,78.699997,96.370003,15.540000,23.719999,0.950000,27.110001,2013-02-07
79.912498,58.930000,70.730003,13.610000,18.870001,0.770000,39.730000,2013-02-08
85.375000,63.299999,84.589996,19.610001,22.530001,0.770000,34.150002,2013-02-09
225.539993,175.539993,206.050003,29.809999,33.090000,1.410000,32.160000,2013-02-10
87.174995,64.739998,83.239998,19.520000,19.150000,0.770000,35.669998,2013-02-11
