AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
67.812500,49.250000,70.870003,24.129999,30.040001,1.040000,34.590000,2013-01-01
106.437500,80.150002,112.489998,33.730000,47.540001,1.300000,20.629999,2013-01-02
50.075001,35.060001,45.150002,21.530001,29.760000,0.980000,36.000000,2013-01-03
80.762497,59.610001,57.160000,26.559999,48.150002,1.330000,16.920000,2013-01-04
107.724998,81.180000,69.769997,30.010000,51.139999,1.450000,17.410000,2013-01-05
106.012497,79.809998,73.110001,33.549999,59.639999,1.490000,18.709999,2013-01-06
114.112503,86.290001,87.349998,40.770000,64.900002,1.690000,13.100000,2013-01-07
166.614288,126.629997,129.679993,49.590000,67.500000,1.770000,17.219999,2013-01-08
156.585709,119.610001,131.490005,51.770000,68.209999,1.690000,23.440001,2013-01-09
143.237488,109.589996,133.020004,46.799999,69.629997,1.530000,18.120001,2013-01-10
146.962494,112.570000,138.009995,39.759998,72.750000,1.310000,15.890000,2013-01-11
144.350006,110.480003,141.029999,38.619999,70.360001,1.330000,21.870001,2013-01-12
153.957138,117.769997,117.260002,40.290001,85.269997,1.900000,13.030000,2013-01-13
98.900002,74.120003,81.180000,23.209999,46.279999,1.250000,37.490002,2013-01-14
170.014282,129.009995,140.889999,28.770000,61.950001,1.430000,27.040001,2013-01-15
186.142868,140.300003,140.220001,34.590000,56.939999,1.460000,30.820000,2013-01-16
155.685715,118.980003,144.940002,34.459999,47.950001,1.450000,30.469999,2013-01-17
97.625000,73.099998,89.620003,29.809999,58.009998,1.100000,35.820000,2013-01-18
119.537498,90.629997,110.239998,22.530001,59.310001,1.250000,34.500000,2013-01-19
94.425003,70.540001,97.879997,24.680000,45.090000,1.260000,40.200001,2013-01-20
120.112495,91.089996,116.550003,25.700001,57.200001,1.530000,20.730000,2013-01-21
69.924995,50.939999,54.580002,28.719999,49.549999,1.530000,18.270000,2013-01-22
102.237503,76.790001,84.610001,24.200001,30.639999,1.220000,43.450001,2013-01-23
140.574997,107.459999,130.429993,32.310001,31.790001,1.400000,44.000000,2013-01-24
184.242859,138.970001,164.830002,30.650000,42.439999,1.480000,49.669998,2013-01-25
133.712494,101.970001,124.669998,24.230000,41.490002,1.060000,51.970001,2013-01-26
173.285721,131.300003,154.360001,36.180000,61.750000,1.250000,42.959999,2013-01-27
134.250000,102.400002,123.959999,22.020000,50.820000,1.080000,46.380001,2013-01-28
87.349998,64.879997,86.209999,14.560000,46.299999,0.920000,45.380001,2013-01-29
92.799995,69.239998,83.099998,14.240000,36.009998,0.770000,58.080002,2013-01-30
88.487503,65.790001,86.790001,14.930000,35.340000,0.880000,58.619999,2013-01-31
90.537498,67.430000,79.370003,18.910000,43.310001,1.230000,32.669998,2013-02-01
107.837494,81.269997,88.860001,22.049999,53.889999,1.930000,13.040000,2013-02-02
55.762501,39.610001,55.520000,10.600000,25.139999,0.830000,42.610001,2013-02-03
86.899994,64.519997,80.779999,16.379999,32.470001,1.340000,23.160000,2013-02-04
57.975002,41.380001,44.180000,12.160000,37.459999,1.030000,16.450001,2013-02-05
61.812500,44.450001,48.160000,13.500000,26.080000,0.970000,26.920000,2013-02-06
65.637497,47.509998,47.099998,18.690001,29.350000,0.880000,29.690001,2013-02-07
39.728569,27.809999,28.709999,12.540000,14.590000,0.560000,51.779999,2013-02-08
71.512497,52.209999,50.439999,11.410000,11.480000,0.650000,52.470001,2013-02-09
158.685715,121.080002,110.720001,11.970000,12.290000,0.710000,44.759998,2013-02-10
93.487503,69.790001,72.769997,12.830000,17.889999,0.760000,53.130001,2013-02-11
53.612499,37.889999,35.860001,9.480000,12.730000,0.680000,52.750000,2013-02-12
79.099998,58.279999,62.480000,13.030000,13.310000,0.790000,59.119999,2013-02-13
79.224998,58.380001,59.830002,8.520000,17.379999,1.000000,41.750000,2013-02-14
71.000000,51.799999,57.540001,14.320000,19.330000,1.130000,49.700001,2013-02-15
77.162498,56.730000,69.709999,11.500000,18.350000,0.930000,52.779999,2013-02-16
48.857143,34.200001,42.740002,7.350000,14.880000,0.590000,53.740002,2013-02-17
45.528572,31.870001,28.650000,14.600000,32.970001,1.020000,25.400000,2013-02-18
27.174999,18.959999,21.730000,11.980000,21.740000,0.670000,51.119999,2013-02-19
55.574997,39.459999,52.279999,13.630000,27.370001,0.870000,47.040001,2013-02-20
84.150002,62.320000,78.239998,16.020000,31.639999,0.890000,51.200001,2013-02-21
75.974998,55.779999,64.430000,12.820000,35.730000,0.870000,39.169998,2013-02-22
93.974998,70.180000,85.019997,19.410000,32.080002,0.930000,58.759998,2013-02-23
111.262505,84.010002,99.300003,15.160000,25.020000,0.910000,70.099998,2013-02-24
99.812500,74.849998,83.089996,11.920000,24.940001,0.820000,57.860001,2013-02-25
81.737503,60.389999,67.370003,18.410000,52.500000,1.100000,17.209999,2013-02-26
94.350006,70.480003,80.230003,20.370001,37.880001,0.890000,30.760000,2013-02-27
72.474998,52.980000,75.260002,20.959999,31.420000,0.860000,42.830002,2013-02-28
68.599998,49.880001,68.470001,18.299999,37.099998,1.090000,29.889999,2013-03-01
46.820000,30.400000,46.820000,17.830000,24.930000,0.540000,52.169998,2013-03-02
54.612499,38.689999,53.220001,16.180000,28.309999,0.610000,49.299999,2013-03-03
62.840000,39.070000,75.680000,19.629999,20.850000,0.630000,60.580002,2013-03-04
95.550003,71.440002,132.210007,26.400000,41.049999,0.810000,50.529999,2013-03-05
82.979996,57.669998,115.959999,25.180000,43.840000,0.750000,63.380001,2013-03-06
77.987503,57.389999,94.910004,21.209999,31.000000,0.650000,71.760002,2013-03-07
100.974998,75.779999,126.290001,25.540001,26.549999,0.830000,87.040001,2013-03-08
113.712502,85.970001,131.300003,22.080000,39.759998,0.950000,81.870003,2013-03-09
92.625000,51.930000,135.250000,18.840000,30.219999,0.610000,55.099998,2013-03-10
51.325001,36.060001,51.139999,16.540001,37.549999,0.550000,37.619999,2013-03-11
72.349998,52.880001,82.040001,21.000000,38.180000,0.810000,56.599998,2013-03-12
71.950005,52.560001,57.360001,20.360001,43.840000,0.980000,23.990000,2013-03-13
62.612499,45.090000,61.740002,24.080000,34.180000,0.670000,59.889999,2013-03-14
78.150002,57.520000,80.610001,25.040001,42.419998,0.650000,58.529999,2013-03-15
118.500000,89.800003,116.160004,26.120001,70.449997,1.030000,29.740000,2013-03-16
106.149994,79.919998,81.260002,24.090000,43.220001,0.990000,36.980000,2013-03-17
45.099998,30.620001,45.099998,17.920000,26.639999,1.120000,57.650002,2013-03-18
72.762497,53.209999,71.889999,21.490000,36.820000,1.160000,31.250000,2013-03-19
73.550003,53.840000,67.830002,18.620001,33.459999,1.040000,31.670000,2013-03-20
70.837494,51.669998,65.540001,18.950001,30.350000,0.740000,51.150002,2013-03-21
87.750000,65.199997,75.180000,22.200001,30.059999,1.100000,52.130001,2013-03-22
74.800003,54.840000,55.160000,17.020000,35.590000,0.850000,47.720001,2013-03-23
81.387497,60.110001,61.340000,21.830000,53.290001,1.140000,21.040001,2013-03-24
81.574997,60.259998,74.839996,27.370001,33.080002,0.830000,54.529999,2013-03-25
51.962502,33.389999,41.860001,18.980000,41.570000,0.620000,37.410000,2013-03-26
57.987499,41.389999,51.930000,15.910000,26.270000,0.650000,41.939999,2013-03-27
76.224998,55.980000,72.699997,20.010000,30.870001,0.750000,42.529999,2013-03-28
89.437500,66.550003,86.849998,27.299999,37.150002,0.680000,63.139999,2013-03-29
76.099998,55.880001,84.379997,22.670000,37.820000,0.580000,59.959999,2013-03-30
78.775002,58.020000,85.760002,25.830000,44.660000,0.580000,65.099998,2013-03-31
