AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
352.089996,302.089996,401.040009,87.279999,65.720001,6.880000,5.720000,2013-01-01
273.720001,223.720001,270.730011,65.419998,69.400002,6.370000,6.960000,2013-01-02
374.769989,324.769989,347.390015,74.089996,51.639999,7.510000,10.810000,2013-01-03
316.410004,266.410004,296.399994,61.180000,61.009998,7.510000,5.950000,2013-01-04
342.079987,292.079987,292.040009,70.239998,61.500000,7.240000,5.210000,2013-01-05
262.289978,212.289993,247.869995,58.930000,70.790001,6.710000,3.330000,2013-01-06
362.829987,312.829987,337.089996,62.119999,42.459999,5.440000,3.100000,2013-01-07
137.330765,576.000000,712.260010,392.649994,77.800003,10.460000,1.840000,2013-01-08
469.600006,454.399994,711.229980,585.109985,152.410004,12.910000,0.380000,2013-01-09
316.649994,266.649994,293.890015,125.080002,69.190002,8.940000,1.840000,2013-01-10
275.679993,225.679993,189.649994,51.939999,33.029999,4.200000,2.790000,2013-01-11
330.970001,280.970001,279.600006,72.250000,61.400002,5.270000,1.010000,2013-01-12
171.857147,130.300003,99.989998,44.139999,59.740002,4.130000,4.970000,2013-01-13
261.049988,211.050003,152.750000,48.689999,44.750000,4.600000,0.380000,2013-01-14
290.919983,240.919998,189.270004,76.220001,54.250000,4.420000,0.000000,2013-01-15
259.149994,209.149994,170.190002,35.099998,46.630001,4.550000,1.100000,2013-01-16
256.149994,206.149994,198.240005,53.099998,48.130001,5.350000,1.520000,2013-01-17
274.809998,224.809998,261.829987,54.720001,41.560001,5.490000,1.360000,2013-01-18
300.700012,250.699997,302.290009,72.769997,51.970001,5.630000,2.670000,2013-01-19
346.760010,296.760010,341.600006,130.729996,37.919998,6.020000,0.810000,2013-01-20
320.829987,270.829987,311.589996,107.349998,68.419998,5.680000,0.000000,2013-01-21
336.299988,286.299988,343.799988,106.500000,74.989998,5.800000,0.110000,2013-01-22
411.220001,366.829987,474.980011,98.519997,71.470001,7.330000,1.270000,2013-01-23
478.166656,467.250000,554.039978,107.050003,58.529999,7.980000,0.160000,2013-01-24
486.570007,500.519989,586.570007,117.000000,48.220001,8.500000,0.990000,2013-01-25
463.466675,445.200012,501.690002,97.110001,77.879997,8.620000,0.550000,2013-01-26
444.959991,417.440002,453.269989,126.320000,93.110001,7.870000,0.010000,2013-01-27
430.506683,395.760010,442.269989,109.910004,114.250000,7.670000,0.240000,2013-01-28
223.860001,173.860001,217.429993,68.010002,47.209999,5.130000,11.960000,2013-01-29
179.385727,135.570007,128.570007,43.970001,38.500000,4.260000,8.330000,2013-01-30
281.130005,231.130005,254.789993,47.869999,44.389999,5.400000,6.080000,2013-01-31
246.470001,196.470001,208.339996,58.810001,47.889999,5.230000,9.270000,2013-02-01
237.539993,187.539993,178.490005,72.739998,28.770000,5.730000,10.470000,2013-02-02
302.369995,252.369995,305.690002,78.470001,46.419998,6.930000,2.590000,2013-02-03
270.869995,220.869995,249.619995,86.930000,54.099998,6.000000,5.110000,2013-02-04
364.869995,314.869995,379.750000,57.709999,53.169998,6.420000,8.480000,2013-02-05
317.850006,267.850006,283.390015,71.650002,60.139999,6.110000,4.660000,2013-02-06
209.490005,159.490005,108.830002,43.189999,37.700001,4.950000,4.400000,2013-02-07
186.342865,140.440002,113.239998,40.529999,21.040001,5.240000,13.260000,2013-02-08
135.987503,103.790001,80.190002,30.129999,39.049999,4.450000,22.889999,2013-02-09
217.070007,167.070007,176.850006,35.930000,46.840000,5.720000,14.440000,2013-02-10
236.300003,186.300003,209.770004,27.860001,36.820000,5.480000,12.780000,2013-02-11
388.209991,338.209991,396.910004,49.250000,41.240002,7.110000,6.950000,2013-02-12
302.710022,252.710007,254.979996,65.260002,22.920000,6.370000,12.970000,2013-02-13
272.270020,222.270004,228.710007,60.910000,28.969999,6.750000,13.790000,2013-02-14
315.700012,265.700012,330.640015,75.480003,52.259998,7.060000,8.300000,2013-02-15
143.699997,109.959999,110.529999,30.980000,45.900002,5.350000,35.570000,2013-02-16
226.809998,176.809998,198.589996,40.290001,42.139999,6.350000,17.430000,2013-02-17
201.369995,151.369995,186.080002,54.099998,55.400002,6.240000,14.070000,2013-02-18
330.720001,280.720001,375.329987,58.799999,63.340000,7.200000,9.890000,2013-02-19
423.513336,385.269989,504.299988,80.500000,61.529999,8.390000,7.830000,2013-02-20
143.100006,620.979980,695.840027,183.610001,69.510002,12.620000,2.910000,2013-02-21
346.880005,296.880005,351.760010,77.400002,45.619999,9.100000,8.640000,2013-02-22
208.350006,158.350006,183.000000,48.840000,43.099998,7.390000,15.380000,2013-02-23
264.440002,214.440002,250.089996,64.410004,47.349998,7.770000,19.610001,2013-02-24
329.089996,279.089996,281.209991,58.439999,28.389999,8.960000,21.520000,2013-02-25
319.630005,269.630005,264.829987,57.279999,38.619999,7.620000,8.470000,2013-02-26
200.190002,150.190002,121.559998,32.529999,36.880001,6.160000,26.600000,2013-02-27
109.400002,74.059998,55.799999,25.590000,37.630001,5.880000,32.070000,2013-02-28
212.660004,162.660004,155.279999,48.130001,20.730000,8.640000,18.360001,2013-03-01
254.029999,204.029999,181.639999,46.169998,48.709999,8.040000,15.110000,2013-03-02
235.039993,185.039993,155.970001,32.830002,45.689999,7.910000,18.760000,2013-03-03
257.399994,207.399994,285.290009,89.489998,67.669998,9.680000,10.360000,2013-03-04
202.279999,152.279999,243.970001,46.799999,37.930000,9.210000,12.640000,2013-03-05
162.642853,123.849998,163.470001,33.619999,33.060001,8.900000,6.240000,2013-03-06
166.928574,126.849998,109.900002,48.470001,49.849998,8.980000,0.000000,2013-03-07
114.300003,65.440002,137.449997,9.260000,29.260000,6.860000,25.950001,2013-03-08
111.099998,31.190001,83.279999,18.790001,34.450001,6.220000,32.070000,2013-03-09
119.300003,59.360001,136.360001,26.670000,29.620001,7.860000,17.379999,2013-03-10
125.987503,95.790001,162.110001,39.110001,45.709999,7.990000,10.640000,2013-03-11
171.371445,129.960007,201.449997,44.169998,48.099998,8.630000,12.060000,2013-03-12
174.985718,132.490005,182.309998,32.910000,35.910000,8.640000,17.180000,2013-03-13
156.514282,119.559998,189.679993,37.709999,30.459999,9.310000,7.560000,2013-03-14
122.537498,93.029999,110.010002,23.900000,33.720001,7.800000,19.180000,2013-03-15
182.199997,137.539993,171.479996,29.219999,34.070000,8.070000,12.760000,2013-03-16
126.562500,96.250000,115.820000,22.680000,32.980000,6.850000,22.150000,2013-03-17
106.349998,67.889999,101.519997,24.160000,43.939999,5.270000,21.600000,2013-03-18
102.349998,74.449997,135.600006,22.830000,36.259998,4.470000,22.379999,2013-03-19
85.820000,46.770000,121.639999,24.760000,37.799999,1.670000,25.430000,2013-03-20
99.224998,74.379997,145.910004,18.690001,48.119999,2.100000,38.080002,2013-03-21
82.974998,60.200001,115.949997,28.160000,53.330002,1.250000,24.430000,2013-03-22
103.820000,64.139999,157.639999,24.540001,48.470001,1.300000,27.790001,2013-03-23
62.779999,31.549999,75.559998,14.630000,38.209999,0.950000,30.180000,2013-03-24
67.544998,41.320000,85.089996,21.590000,43.840000,1.160000,24.440001,2013-03-25
96.910004,61.090000,143.820007,25.219999,59.810001,1.540000,20.160000,2013-03-26
112.500000,68.540001,175.000000,28.620001,62.130001,1.400000,27.830000,2013-03-27
102.055000,33.820000,154.110001,21.930000,40.410000,0.830000,31.100000,2013-03-28
70.910004,45.330002,91.820000,26.309999,38.669998,0.930000,28.139999,2013-03-29
105.000000,70.099998,160.000000,30.910000,60.209999,1.190000,26.600000,2013-03-30
101.360001,61.910000,152.720001,27.740000,52.990002,1.330000,26.719999,2013-03-31
146.100006,46.810001,242.199997,17.660000,35.980000,1.130000,57.720001,2013-04-01
55.345001,19.299999,60.689999,9.980000,27.809999,0.480000,36.330002,2013-04-02
43.125000,15.290000,31.360001,4.130000,34.500000,0.650000,54.070000,2013-04-03
62.674999,32.759998,58.970001,11.300000,50.139999,0.810000,47.880001,2013-04-04
87.187500,64.750000,114.510002,27.639999,59.040001,1.250000,28.160000,2013-04-05
86.604996,49.770000,123.209999,21.350000,58.310001,1.260000,36.660000,2013-04-06
70.705002,44.169998,91.410004,21.480000,49.959999,1.020000,40.029999,2013-04-07
70.574997,39.340000,91.150002,23.510000,42.520000,0.960000,28.139999,2013-04-08
190.354996,89.629997,330.709991,50.889999,70.559998,1.120000,17.680000,2013-04-09
151.304993,81.300003,252.610001,43.470001,72.580002,1.030000,28.650000,2013-04-10
115.949997,56.439999,181.899994,26.040001,65.239998,1.050000,27.950001,2013-04-11
118.794998,49.529999,187.589996,37.980000,67.870003,1.310000,19.430000,2013-04-12
168.785004,83.279999,287.570007,38.250000,86.889999,1.190000,27.830000,2013-04-13
145.554993,73.230003,241.110001,25.250000,67.660004,1.050000,40.790001,2013-04-14
87.380005,56.709999,124.760002,21.690001,39.090000,0.920000,35.410000,2013-04-15
89.839996,44.900002,129.679993,18.260000,48.290001,1.240000,26.129999,2013-04-16
29.575001,17.990000,25.410000,5.010000,23.660000,0.790000,42.689999,2013-04-17
68.537506,49.830002,78.470001,23.930000,40.750000,1.200000,23.049999,2013-04-18
59.087502,20.459999,34.299999,8.990000,47.270000,1.140000,18.389999,2013-04-19
