PM2_5,PM10,SO2,NO2,CO,O3,Time
55.200001,65.410004,27.070000,25.530001,1.110000,27.469999,2013-01-01
88.779999,101.500000,30.910000,32.830002,1.610000,23.780001,2013-01-02
48.520000,55.770000,22.740000,24.000000,1.630000,26.129999,2013-01-03
57.700001,55.860001,20.660000,21.320000,1.560000,26.020000,2013-01-04
95.480003,81.220001,27.820000,28.280001,1.420000,19.900000,2013-01-05
115.919998,103.949997,37.230000,29.639999,1.490000,24.559999,2013-01-06
173.419998,150.570007,47.490002,25.530001,1.830000,21.670000,2013-01-07
142.570007,127.709999,26.010000,34.250000,1.820000,12.930000,2013-01-08
185.399994,155.919998,48.330002,47.549999,1.740000,17.020000,2013-01-09
197.300003,156.710007,40.299999,41.860001,2.190000,26.230000,2013-01-10
164.770004,136.559998,35.860001,33.880001,1.910000,32.430000,2013-01-11
196.729996,147.589996,41.400002,37.570000,2.380000,25.059999,2013-01-12
158.130005,141.929993,41.220001,30.350000,2.250000,28.070000,2013-01-13
162.830002,153.369995,41.090000,35.919998,2.350000,30.139999,2013-01-14
143.380005,114.589996,32.060001,34.980000,1.710000,32.169998,2013-01-15
180.289993,132.080002,28.190001,41.599998,2.180000,24.330000,2013-01-16
187.160004,155.910004,42.290001,53.950001,2.010000,28.030001,2013-01-17
201.149994,159.830002,26.670000,32.770000,1.940000,27.420000,2013-01-18
114.480003,89.430000,28.620001,26.280001,1.130000,33.959999,2013-01-19
166.029999,123.050003,22.250000,40.189999,1.470000,17.780001,2013-01-20
124.169998,64.389999,19.139999,37.389999,1.480000,12.610000,2013-01-21
196.889999,133.240005,58.900002,54.189999,2.320000,12.080000,2013-01-22
154.289993,148.820007,36.110001,36.750000,2.430000,13.770000,2013-01-23
119.050003,95.440002,32.540001,31.160000,2.010000,25.660000,2013-01-24
122.750000,131.820007,26.709999,25.600000,2.420000,27.480000,2013-01-25
120.160004,110.580002,31.309999,23.740000,1.760000,39.639999,2013-01-26
154.059998,145.240005,35.500000,35.730000,1.830000,42.090000,2013-01-27
120.559998,138.110001,38.320000,18.469999,1.330000,35.720001,2013-01-28
126.089996,147.550003,40.220001,29.809999,1.590000,41.669998,2013-01-29
106.889999,124.809998,34.529999,31.510000,1.070000,46.730000,2013-01-30
136.800003,152.110001,39.060001,50.709999,1.710000,12.580000,2013-01-31
77.790001,56.500000,11.690000,35.320000,2.000000,17.379999,2013-02-01
112.029999,89.070000,18.110001,37.090000,2.390000,19.500000,2013-02-02
86.139999,95.129997,37.230000,43.740002,2.910000,19.900000,2013-02-03
71.870003,56.650002,12.720000,30.879999,1.970000,9.610000,2013-02-04
32.639999,19.090000,5.980000,20.600000,1.250000,14.350000,2013-02-05
74.570000,59.160000,11.450000,18.639999,1.590000,18.590000,2013-02-06
21.920000,13.740000,7.010000,20.170000,1.430000,23.870001,2013-02-07
35.230000,20.780001,7.860000,11.930000,0.820000,48.230000,2013-02-08
70.099998,56.580002,15.260000,10.540000,0.670000,48.480000,2013-02-09
121.510002,103.919998,25.730000,11.170000,1.350000,29.850000,2013-02-10
87.940002,76.949997,10.720000,12.160000,1.140000,33.430000,2013-02-11
137.570007,89.430000,12.430000,14.740000,1.300000,58.009998,2013-02-12
121.220001,97.720001,15.380000,14.970000,1.330000,37.349998,2013-02-13
43.040001,35.669998,8.180000,14.390000,1.050000,36.029999,2013-02-14
113.669998,85.809998,20.559999,26.709999,1.450000,44.959999,2013-02-15
77.199997,82.470001,22.969999,17.830000,1.440000,36.320000,2013-02-16
53.820000,52.790001,16.270000,22.500000,1.190000,20.309999,2013-02-17
27.500000,15.600000,10.960000,22.100000,1.240000,28.490000,2013-02-18
35.970001,24.809999,9.130000,15.920000,1.290000,38.610001,2013-02-19
37.919998,31.049999,9.630000,13.760000,0.830000,36.470001,2013-02-20
40.169998,35.930000,11.090000,16.600000,0.850000,37.689999,2013-02-21
63.509998,62.040001,19.000000,18.219999,0.970000,46.130001,2013-02-22
46.880001,59.360001,17.590000,20.010000,1.150000,36.040001,2013-02-23
73.680000,89.419998,32.509998,22.520000,1.280000,28.230000,2013-02-24
136.699997,134.199997,27.500000,25.100000,1.540000,28.620001,2013-02-25
101.790001,66.639999,8.720000,17.719999,1.220000,30.190001,2013-02-26
202.880005,148.660004,20.459999,21.940001,1.590000,36.070000,2013-02-27
98.470001,106.870003,29.020000,22.389999,1.810000,43.009998,2013-02-28
56.169998,47.540001,17.129999,27.799999,1.260000,32.060001,2013-03-01
30.320000,39.320000,16.049999,17.730000,0.610000,35.450001,2013-03-02
47.060001,58.970001,29.740000,14.810000,0.670000,50.200001,2013-03-03
66.599998,91.769997,35.400002,16.719999,0.850000,49.520000,2013-03-04
63.080002,95.800003,34.799999,28.139999,1.050000,50.570000,2013-03-05
72.930000,101.339996,40.070000,33.980000,1.180000,63.380001,2013-03-06
102.379997,130.679993,33.580002,36.580002,1.240000,69.000000,2013-03-07
139.089996,172.130005,61.450001,50.830002,1.500000,80.760002,2013-03-08
110.730003,149.020004,42.810001,35.840000,1.360000,78.769997,2013-03-09
74.209999,134.330002,21.969999,35.450001,1.060000,37.099998,2013-03-10
64.949997,92.089996,13.970000,15.150000,0.730000,36.150002,2013-03-11
73.760002,103.470001,31.530001,28.840000,1.020000,33.380001,2013-03-12
105.459999,116.379997,26.430000,31.360001,1.060000,27.770000,2013-03-13
123.610001,126.019997,23.100000,25.290001,1.190000,26.280001,2013-03-14
77.949997,104.349998,25.370001,29.090000,1.120000,38.230000,2013-03-15
70.519997,87.589996,24.010000,24.870001,1.170000,25.440001,2013-03-16
37.900002,34.230000,16.379999,20.209999,0.940000,42.790001,2013-03-17
63.020000,79.669998,30.590000,26.480000,1.140000,45.180000,2013-03-18
58.290001,75.870003,23.040001,29.740000,1.240000,36.610001,2013-03-19
101.389999,103.339996,26.980000,34.360001,1.590000,48.849998,2013-03-20
96.129997,114.760002,29.110001,21.920000,1.200000,39.500000,2013-03-21
71.440002,95.449997,29.230000,29.780001,1.250000,43.730000,2013-03-22
121.750000,100.849998,17.719999,21.030001,1.370000,39.450001,2013-03-23
136.759995,120.330002,23.469999,24.400000,1.480000,44.770000,2013-03-24
59.180000,74.989998,17.860001,19.889999,1.140000,46.110001,2013-03-25
48.110001,43.180000,10.590000,15.360000,0.910000,48.529999,2013-03-26
55.029999,70.370003,21.709999,16.440001,1.150000,42.209999,2013-03-27
57.750000,69.559998,22.629999,26.219999,1.160000,32.520000,2013-03-28
57.660000,73.300003,21.150000,18.309999,1.220000,51.240002,2013-03-29
61.250000,68.800003,23.690001,20.889999,1.020000,46.880001,2013-03-30
79.889999,91.629997,18.170000,17.100000,1.170000,36.139999,2013-03-31
108.570000,137.339996,22.320000,40.009998,1.390000,30.400000,2013-04-01
71.059998,79.760002,17.950001,19.400000,1.340000,43.889999,2013-04-02
73.010002,84.400002,19.139999,23.690001,1.240000,33.049999,2013-04-03
48.790001,57.330002,11.230000,19.549999,1.120000,30.700001,2013-04-04
53.330002,40.299999,9.640000,15.220000,1.050000,53.090000,2013-04-05
39.619999,85.550003,15.050000,13.950000,0.690000,59.459999,2013-04-06
47.009998,69.519997,19.730000,18.760000,0.890000,53.860001,2013-04-07
58.910000,84.199997,27.090000,24.459999,0.860000,52.119999,2013-04-08
68.089996,92.199997,19.990000,33.250000,1.120000,34.529999,2013-04-09
55.730000,81.290001,22.150000,28.020000,0.880000,41.189999,2013-04-10
90.760002,120.160004,32.709999,52.439999,1.190000,29.520000,2013-04-11
78.849998,109.739998,38.740002,46.590000,1.230000,42.119999,2013-04-12
82.809998,109.010002,46.430000,46.529999,1.390000,26.020000,2013-04-13
69.809998,97.809998,34.610001,36.360001,1.230000,48.480000,2013-04-14
54.610001,83.290001,27.760000,32.299999,1.180000,54.250000,2013-04-15
62.630001,91.849998,28.770000,25.660000,1.130000,53.560001,2013-04-16
69.959999,85.650002,23.200001,19.260000,1.060000,64.360001,2013-04-17
59.860001,78.220001,20.030001,17.540001,1.020000,63.580002,2013-04-18
60.840000,46.200001,16.040001,19.230000,0.860000,46.110001,2013-04-19
39.660000,32.209999,12.240000,18.080000,0.630000,41.509998,2013-04-20
