PM2_5,PM10,SO2,NO2,CO,O3,Time
98.860001,239.979996,132.179993,65.589996,1.800000,15.040000,2013-01-01
33.830002,70.199997,67.779999,37.119999,1.630000,34.910000,2013-01-02
54.950001,100.980003,90.099998,60.209999,1.630000,24.410000,2013-01-03
67.290001,128.369995,145.169998,81.820000,1.870000,17.709999,2013-01-04
130.770004,209.949997,232.070007,95.510002,1.990000,13.490000,2013-01-05
223.639999,370.519989,331.970001,139.850006,3.460000,9.640000,2013-01-06
199.279999,336.329987,230.429993,127.730003,2.500000,13.370000,2013-01-07
326.309998,520.380005,376.709991,171.000000,4.290000,13.920000,2013-01-08
122.339996,212.740005,191.940002,82.370003,2.000000,15.740000,2013-01-09
180.949997,326.059998,206.729996,113.820000,3.150000,21.549999,2013-01-10
213.020004,339.079987,152.809998,84.010002,2.570000,18.549999,2013-01-11
201.490005,331.589996,126.019997,94.300003,3.080000,20.129999,2013-01-12
277.309998,446.220001,145.479996,117.370003,3.720000,18.799999,2013-01-13
446.190002,765.000000,312.190002,165.000000,6.640000,5.700000,2013-01-14
247.649994,483.720001,238.919998,122.059998,4.050000,6.410000,2013-01-15
217.309998,359.920013,373.250000,110.269997,3.180000,6.190000,2013-01-16
205.339996,300.850006,200.589996,99.370003,2.880000,8.920000,2013-01-17
120.050003,221.059998,98.209999,69.570000,1.820000,34.840000,2013-01-18
233.210007,376.850006,182.240005,120.980003,3.030000,19.290001,2013-01-19
322.109985,438.829987,240.570007,108.970001,3.610000,10.190000,2013-01-20
165.619995,203.770004,127.629997,75.480003,2.670000,7.600000,2013-01-21
220.399994,290.920013,197.029999,87.129997,2.820000,15.840000,2013-01-22
227.539993,302.109985,168.259995,114.400002,3.680000,18.760000,2013-01-23
188.259995,304.000000,165.990005,91.760002,2.580000,14.680000,2013-01-24
210.869995,327.839996,189.300003,118.699997,3.210000,12.840000,2013-01-25
305.589996,457.350006,427.700012,139.910004,3.610000,8.230000,2013-01-26
282.940002,419.420013,247.009995,141.559998,3.860000,12.680000,2013-01-27
238.880005,356.019989,163.039993,99.629997,2.900000,24.790001,2013-01-28
275.350006,532.690002,403.179993,123.050003,4.060000,11.320000,2013-01-29
263.380005,578.039978,242.250000,122.730003,4.240000,9.060000,2013-01-30
171.839996,334.089996,269.309998,134.619995,4.770000,6.990000,2013-01-31
92.309998,158.860001,143.619995,81.220001,2.690000,12.950000,2013-02-01
98.500000,199.649994,197.300003,97.169998,2.240000,14.720000,2013-02-02
73.919998,109.750000,73.019997,62.700001,1.600000,28.320000,2013-02-03
114.739998,168.339996,149.240005,76.430000,1.850000,15.570000,2013-02-04
134.460007,183.779999,220.850006,97.120003,2.380000,9.250000,2013-02-05
205.339996,307.760010,254.899994,84.879997,2.350000,11.860000,2013-02-06
36.090000,81.160004,74.839996,30.180000,1.040000,50.599998,2013-02-07
65.529999,110.809998,156.270004,53.630001,1.530000,31.559999,2013-02-08
112.349998,174.419998,130.139999,44.000000,1.410000,44.880001,2013-02-09
246.300003,354.799988,306.869995,68.279999,2.600000,34.930000,2013-02-10
146.789993,215.270004,220.240005,74.589996,2.200000,12.870000,2013-02-11
159.270004,230.869995,197.789993,57.470001,1.910000,28.209999,2013-02-12
96.120003,172.899994,86.510002,27.950001,1.210000,70.190002,2013-02-13
174.160004,261.950012,153.339996,57.560001,2.090000,52.430000,2013-02-14
127.529999,206.460007,171.559998,66.379997,1.740000,32.340000,2013-02-15
209.009995,317.480011,141.350006,59.320000,2.360000,36.939999,2013-02-16
243.119995,371.410004,151.080002,62.560001,2.690000,21.820000,2013-02-17
85.720001,178.839996,177.929993,59.189999,1.650000,23.450001,2013-02-18
108.599998,201.149994,183.679993,59.939999,1.990000,21.850000,2013-02-19
99.150002,167.690002,69.699997,34.549999,1.230000,61.240002,2013-02-20
126.830002,211.770004,78.610001,44.419998,1.530000,47.480000,2013-02-21
108.010002,200.500000,88.639999,48.939999,1.540000,46.880001,2013-02-22
133.220001,252.190002,102.430000,69.680000,1.980000,44.540001,2013-02-23
183.149994,308.320007,104.660004,63.740002,2.210000,64.940002,2013-02-24
253.320007,394.429993,112.629997,58.049999,2.550000,16.620001,2013-02-25
226.800003,382.670013,121.209999,62.230000,2.320000,12.380000,2013-02-26
355.230011,573.270020,186.770004,109.139999,4.840000,14.560000,2013-02-27
210.660004,405.320007,90.889999,51.279999,2.040000,30.870001,2013-02-28
19.100000,78.660004,46.590000,26.340000,0.810000,57.639999,2013-03-01
62.049999,150.970001,108.730003,65.290001,1.470000,27.740000,2013-03-02
78.080002,211.750000,101.010002,48.910000,1.320000,43.950001,2013-03-03
77.430000,208.589996,111.949997,61.730000,1.740000,35.500000,2013-03-04
91.099998,285.179993,76.239998,41.110001,1.360000,73.360001,2013-03-05
111.730003,289.049988,86.330002,46.200001,1.280000,73.160004,2013-03-06
169.639999,454.619995,87.260002,56.709999,1.730000,53.950001,2013-03-07
82.599998,324.049988,86.940002,46.259998,1.270000,61.950001,2013-03-08
93.820000,464.850006,56.209999,28.330000,1.140000,95.010002,2013-03-09
48.730000,243.509995,99.839996,44.490002,1.080000,47.970001,2013-03-10
62.660000,155.729996,76.040001,44.049999,1.070000,49.790001,2013-03-11
