PM2_5,PM10,SO2,NO2,CO,O3,Time
34.799999,62.040001,63.500000,20.049999,12.430000,29.870001,2013-01-01
32.340000,57.270000,57.240002,20.580000,4.980000,26.200001,2013-01-02
40.680000,77.949997,89.269997,26.410000,3.250000,23.889999,2013-01-03
85.970001,147.820007,172.979996,47.669998,1.850000,10.720000,2013-01-04
98.080002,137.869995,130.529999,43.349998,2.190000,20.350000,2013-01-05
99.360001,207.800003,187.779999,52.070000,2.800000,10.430000,2013-01-06
183.720001,257.339996,202.610001,65.309998,3.320000,5.980000,2013-01-07
70.190002,104.260002,70.709999,36.830002,3.810000,23.080000,2013-01-08
51.779999,120.269997,99.629997,42.779999,5.590000,9.550000,2013-01-09
109.089996,192.570007,160.940002,52.759998,2.120000,5.970000,2013-01-10
163.089996,178.149994,99.110001,42.830002,8.120000,21.920000,2013-01-11
96.279999,204.289993,159.240005,55.939999,2.350000,5.970000,2013-01-12
144.729996,213.660004,165.690002,52.709999,2.650000,8.810000,2013-01-13
131.339996,230.610001,167.740005,48.779999,2.720000,7.700000,2013-01-14
94.209999,158.639999,98.330002,34.919998,7.650000,20.350000,2013-01-15
94.099998,153.289993,105.160004,32.160000,2.070000,18.490000,2013-01-16
59.869999,129.330002,123.239998,36.750000,2.610000,14.810000,2013-01-17
207.479996,274.119995,237.360001,53.810001,2.370000,5.620000,2013-01-18
143.589996,207.000000,78.120003,45.209999,2.610000,13.460000,2013-01-19
171.179993,183.070007,44.119999,44.259998,2.160000,15.620000,2013-01-20
234.130005,240.440002,79.349998,50.029999,2.820000,11.900000,2013-01-21
218.550003,252.690002,146.330002,49.180000,1.910000,7.770000,2013-01-22
313.480011,448.739990,294.170013,55.180000,3.630000,3.760000,2013-01-23
51.209999,50.630001,48.790001,32.099998,1.630000,30.260000,2013-01-24
95.250000,134.050003,104.099998,30.160000,1.180000,14.280000,2013-01-25
73.860001,117.470001,77.199997,29.920000,0.990000,13.020000,2013-01-26
73.370003,196.970001,121.349998,31.440001,1.600000,10.960000,2013-01-27
98.309998,226.110001,144.210007,41.029999,1.890000,9.560000,2013-01-28
106.360001,229.619995,143.990005,47.790001,2.340000,8.190000,2013-01-29
114.959999,197.729996,93.620003,38.410000,1.520000,11.630000,2013-01-30
140.169998,194.759995,96.120003,42.320000,1.650000,10.280000,2013-01-31
78.529999,92.760002,59.810001,31.650000,1.710000,23.709999,2013-02-01
41.400002,93.370003,76.050003,30.690001,1.170000,20.580000,2013-02-02
106.320000,126.550003,41.070000,34.820000,1.080000,8.730000,2013-02-03
72.019997,78.000000,52.770000,27.170000,0.980000,21.059999,2013-02-04
169.229996,220.210007,124.199997,44.570000,2.410000,13.440000,2013-02-05
132.179993,129.330002,63.389999,27.760000,2.750000,33.900002,2013-02-06
21.219999,35.029999,33.389999,16.549999,0.620000,44.220001,2013-02-07
98.389999,125.790001,106.860001,39.669998,1.240000,18.580000,2013-02-08
189.139999,208.440002,136.500000,39.270000,1.770000,25.270000,2013-02-09
211.309998,191.669998,65.919998,29.610001,1.460000,34.560001,2013-02-10
209.669998,191.889999,93.129997,35.840000,1.900000,22.459999,2013-02-11
68.620003,108.089996,76.059998,30.670000,1.990000,48.720001,2013-02-12
160.360001,197.529999,153.779999,45.930000,1.790000,13.960000,2013-02-13
120.279999,163.059998,78.160004,29.490000,1.990000,24.030001,2013-02-14
79.870003,122.070000,83.480003,35.660000,1.330000,29.219999,2013-02-15
166.399994,187.250000,60.340000,46.250000,1.160000,11.520000,2013-02-16
188.759995,193.669998,72.419998,31.809999,2.220000,27.870001,2013-02-17
47.009998,100.050003,55.150002,21.110001,1.230000,44.509998,2013-02-18
79.320000,124.589996,80.339996,29.580000,1.150000,32.360001,2013-02-19
146.929993,211.869995,107.180000,40.970001,1.590000,24.110001,2013-02-20
87.550003,151.270004,103.419998,39.130001,1.730000,23.719999,2013-02-21
69.269997,123.320000,68.669998,37.169998,1.300000,30.240000,2013-02-22
133.500000,173.800003,89.540001,46.730000,1.050000,19.559999,2013-02-23
192.229996,225.449997,71.620003,45.000000,1.080000,40.970001,2013-02-24
444.369995,405.859985,106.010002,55.599998,2.400000,20.459999,2013-02-25
280.040009,360.450012,129.820007,55.919998,2.450000,20.400000,2013-02-26
139.369995,283.869995,133.520004,52.490002,1.970000,21.889999,2013-02-27
138.289993,284.630005,69.190002,43.709999,1.440000,36.590000,2013-02-28
35.070000,69.430000,52.689999,31.309999,0.700000,41.560001,2013-03-01
100.099998,188.649994,126.589996,54.830002,1.570000,20.889999,2013-03-02
95.550003,258.230011,121.720001,46.599998,1.720000,30.500000,2013-03-03
80.900002,214.899994,79.040001,47.099998,1.220000,31.459999,2013-03-04
156.649994,341.140015,82.550003,53.919998,1.250000,24.930000,2013-03-05
153.050003,413.589996,92.809998,62.520000,2.550000,24.590000,2013-03-06
82.629997,363.190002,108.589996,61.520000,1.680000,32.150002,2013-03-07
138.360001,536.650024,120.940002,61.049999,1.240000,29.990000,2013-03-08
130.970001,435.519989,81.709999,51.090000,1.610000,30.410000,2013-03-09
52.950001,156.580002,46.990002,40.450001,0.930000,30.200001,2013-03-10
69.080002,211.869995,51.349998,47.240002,0.290000,28.139999,2013-03-11
115.650002,289.989990,86.919998,46.959999,0.990000,23.680000,2013-03-12
75.900002,148.509995,42.230000,42.060001,0.970000,27.889999,2013-03-13
183.750000,307.839996,56.410000,52.939999,0.480000,14.600000,2013-03-14
233.479996,480.089996,113.589996,70.519997,1.820000,19.170000,2013-03-15
172.029999,386.630005,81.489998,59.669998,1.920000,34.520000,2013-03-16
116.889999,222.970001,106.430000,50.419998,2.050000,31.129999,2013-03-17
36.799999,209.889999,96.580002,53.080002,2.070000,23.690001,2013-03-18
75.860001,283.019989,107.349998,58.430000,2.000000,25.389999,2013-03-19
90.550003,175.130005,83.669998,50.439999,1.630000,28.420000,2013-03-20
166.899994,347.679993,164.039993,77.470001,1.620000,23.270000,2013-03-21
92.370003,186.789993,75.010002,50.380001,1.400000,32.439999,2013-03-22
108.180000,271.260010,105.370003,48.680000,1.330000,37.430000,2013-03-23
37.930000,90.790001,62.240002,38.770000,0.970000,39.970001,2013-03-24
91.910004,174.610001,82.519997,54.959999,1.570000,28.209999,2013-03-25
106.629997,212.179993,135.869995,61.930000,1.760000,29.780001,2013-03-26
135.080002,271.220001,163.789993,64.419998,2.200000,31.580000,2013-03-27
93.040001,174.479996,40.570000,40.779999,1.350000,53.869999,2013-03-28
87.570000,182.500000,59.439999,54.820000,1.550000,30.230000,2013-03-29
79.669998,178.550003,67.820000,50.889999,1.680000,30.719999,2013-03-30
147.559998,307.399994,108.480003,70.050003,2.030000,24.690001,2013-03-31
37.799999,121.360001,36.310001,27.930000,1.350000,48.980000,2013-04-01
