PM2_5,PM10,SO2,NO2,CO,O3,Time
83.650002,245.539993,62.599998,43.310001,3.410000,26.840000,2013-01-01
46.349998,82.510002,32.990002,30.020000,3.060000,32.599998,2013-01-02
47.930000,89.580002,52.020000,42.400002,3.040000,22.959999,2013-01-03
78.680000,144.020004,87.550003,51.090000,3.470000,17.530001,2013-01-04
143.720001,269.769989,106.029999,78.720001,4.860000,14.680000,2013-01-05
222.360001,356.769989,156.960007,83.930000,5.440000,12.620000,2013-01-06
200.869995,299.709991,129.419998,88.650002,4.500000,14.500000,2013-01-07
371.850006,491.739990,149.139999,106.080002,6.640000,15.800000,2013-01-08
245.639999,304.420013,130.009995,84.320000,5.180000,15.230000,2013-01-09
401.130005,578.479980,128.429993,109.150002,5.690000,12.440000,2013-01-10
325.440002,466.929993,105.339996,92.400002,5.390000,22.420000,2013-01-11
375.079987,505.739990,87.699997,106.820000,5.960000,17.290001,2013-01-12
292.940002,381.660004,86.970001,82.790001,6.320000,18.690001,2013-01-13
418.869995,572.960022,79.930000,99.290001,7.930000,12.710000,2013-01-14
303.109985,452.390015,82.970001,86.730003,7.000000,13.870000,2013-01-15
299.290009,486.820007,73.589996,89.660004,6.430000,12.470000,2013-01-16
166.949997,224.789993,100.309998,62.599998,4.530000,19.139999,2013-01-17
190.130005,277.000000,88.410004,63.349998,4.180000,20.620001,2013-01-18
232.600006,367.489990,64.650002,63.509998,5.010000,31.150000,2013-01-19
219.000000,261.390015,89.660004,60.730000,5.450000,13.870000,2013-01-20
195.750000,248.429993,110.440002,56.380001,5.600000,13.600000,2013-01-21
239.089996,348.339996,131.600006,64.849998,5.590000,14.050000,2013-01-22
205.169998,289.480011,84.370003,60.970001,4.340000,34.049999,2013-01-23
91.669998,127.000000,65.779999,45.619999,3.030000,29.980000,2013-01-24
68.029999,135.949997,93.230003,52.150002,3.060000,19.840000,2013-01-25
155.339996,198.479996,90.980003,50.220001,4.030000,18.270000,2013-01-26
212.600006,314.399994,87.930000,58.439999,3.760000,14.980000,2013-01-27
238.789993,324.019989,51.209999,49.060001,3.720000,19.620001,2013-01-28
235.449997,331.700012,51.669998,52.630001,4.420000,12.190000,2013-01-29
189.490005,294.450012,62.450001,57.669998,4.810000,12.470000,2013-01-30
127.680000,189.580002,79.180000,57.380001,6.270000,10.300000,2013-01-31
163.639999,257.040009,101.269997,63.590000,7.650000,13.450000,2013-02-01
91.050003,134.039993,53.880001,46.220001,5.520000,22.820000,2013-02-02
74.010002,76.919998,27.379999,31.090000,4.950000,10.420000,2013-02-03
77.739998,111.120003,46.380001,33.520000,4.990000,18.299999,2013-02-04
89.709999,123.050003,54.849998,39.369999,4.930000,24.730000,2013-02-05
132.289993,204.679993,52.169998,39.840000,5.500000,12.990000,2013-02-06
56.639999,82.120003,26.110001,19.360001,4.410000,44.049999,2013-02-07
37.730000,73.589996,45.080002,30.549999,4.150000,35.750000,2013-02-08
75.050003,119.699997,38.830002,28.900000,4.100000,39.970001,2013-02-09
216.270004,311.649994,53.349998,36.049999,4.570000,31.000000,2013-02-10
119.400002,145.080002,52.849998,26.450001,4.190000,36.169998,2013-02-11
75.809998,104.559998,61.639999,32.220001,4.290000,24.969999,2013-02-12
61.810001,115.330002,59.959999,35.410000,4.280000,40.430000,2013-02-13
119.930000,189.990005,67.500000,35.759998,4.210000,43.070000,2013-02-14
189.179993,257.480011,63.320000,38.049999,3.470000,30.240000,2013-02-15
212.210007,286.809998,38.939999,32.730000,3.050000,38.910000,2013-02-16
199.800003,333.369995,53.680000,41.939999,3.170000,23.400000,2013-02-17
88.370003,138.860001,42.540001,31.070000,1.760000,38.779999,2013-02-18
75.230003,126.250000,55.910000,37.209999,1.520000,33.180000,2013-02-19
85.980003,134.169998,47.570000,40.990002,1.450000,33.119999,2013-02-20
136.990005,218.649994,55.610001,50.540001,1.990000,15.890000,2013-02-21
