lat,lon,cluster
18.34,109.25,0
18.34,109.38,0
18.33,109.52,0
18.33,109.66,0
18.49,108.83,0
18.49,108.97,0
18.48,109.11,0
18.48,109.25,0
18.47,109.39,0
18.46,109.53,0
18.46,109.67,0
18.45,109.81,0
18.45,109.95,0
18.62,108.84,0
18.62,108.98,0
18.61,109.12,0
18.61,109.26,0
18.6,109.4,0
18.6,109.54,0
18.59,109.67,0
18.59,109.81,0
18.58,109.95,0
18.57,110.09,0
18.76,108.7,0
18.75,108.84,0
18.75,108.98,0
18.75,109.12,0
18.74,109.26,0
18.73,109.4,0
18.73,109.54,0
18.72,109.68,0
18.72,109.82,0
18.71,109.96,0
18.7,110.1,0
18.7,110.24,0
18.69,110.38,0
18.89,108.71,0
18.89,108.85,0
18.88,108.99,0
18.88,109.13,0
18.87,109.27,0
18.87,109.41,0
18.86,109.55,0
18.86,109.69,0
18.85,109.83,0
18.84,109.97,0
18.84,110.11,0
18.83,110.25,0
18.82,110.39,0
19.02,108.71,0
19.02,108.85,0
19.01,108.99,0
19.01,109.13,0
19.0,109.27,0
19.0,109.41,0
18.99,109.55,0
18.99,109.69,0
18.98,109.83,0
18.98,109.97,0
18.97,110.11,0
18.96,110.25,0
18.96,110.39,0
19.16,108.72,0
19.15,108.86,0
19.15,109.0,0
19.14,109.14,0
19.14,109.28,0
19.13,109.42,0
19.13,109.56,0
19.12,109.7,0
19.11,109.84,0
19.11,109.98,0
19.1,110.12,0
19.1,110.26,0
19.09,110.4,0
19.08,110.54,0
19.29,108.72,0
19.28,108.86,0
19.28,109.0,0
19.27,109.14,0
19.27,109.28,0
19.26,109.43,0
19.26,109.57,0
19.25,109.71,0
19.25,109.85,0
19.24,109.99,0
19.23,110.13,0
19.23,110.27,0
19.22,110.41,0
19.21,110.55,0
19.42,108.87,0
19.41,109.01,0
19.41,109.15,0
19.4,109.29,0
19.4,109.43,0
19.39,109.57,0
19.38,109.71,0
19.38,109.85,0
19.37,109.99,0
19.37,110.13,0
19.36,110.27,0
19.35,110.41,0
19.35,110.55,0
19.54,109.01,0
19.54,109.16,0
19.53,109.3,0
19.53,109.44,0
19.52,109.58,0
19.52,109.72,0
19.51,109.86,0
19.51,110.0,0
19.5,110.14,0
19.49,110.28,0
19.49,110.42,0
19.48,110.56,0
19.47,110.7,0
19.67,109.3,0
19.66,109.44,0
19.66,109.58,0
19.65,109.72,0
19.64,109.87,0
19.64,110.01,0
19.63,110.15,0
19.62,110.29,0
19.62,110.43,0
19.61,110.57,0
19.6,110.71,0
19.6,110.85,0
19.8,109.31,0
19.79,109.45,0
19.79,109.59,0
19.78,109.73,0
19.78,109.87,0
19.77,110.01,0
19.76,110.15,0
19.76,110.29,0
19.75,110.44,0
19.74,110.58,0
19.74,110.72,0
19.73,110.86,0
19.72,111.0,0
19.92,109.6,0
19.92,109.74,0
19.91,109.88,0
19.9,110.02,0
19.9,110.16,0
19.89,110.3,0
19.88,110.44,0
19.88,110.58,0
19.87,110.73,0
19.86,110.87,0
20.03,110.17,0
20.02,110.31,0
20.02,110.45,0
20.0,110.73,0
20.3,110.04,0
20.3,110.18,0
20.29,110.32,0
20.43,110.05,0
20.43,110.19,0
20.42,110.33,0
20.41,110.47,0
20.57,109.91,0
20.57,110.05,0
20.56,110.2,0
20.55,110.34,0
20.55,110.48,0
20.71,109.78,0
20.71,109.92,0
20.7,110.06,0
20.69,110.2,0
20.85,109.78,0
20.84,109.92,0
20.83,110.07,0
20.83,110.21,0
20.98,109.79,0
20.97,109.93,0
20.97,110.07,0
21.11,109.79,0
21.11,109.94,0
21.1,110.08,0
21.09,110.22,0
21.29,101.34,0
21.29,101.49,0
21.3,101.63,0
21.25,109.8,0
21.24,109.94,0
21.23,110.09,0
21.23,110.23,0
21.22,110.37,0
21.21,110.52,0
21.42,101.2,0
21.42,101.34,0
21.43,101.48,0
21.43,101.63,0
21.37,109.95,0
21.37,110.09,0
21.36,110.24,0
21.35,110.38,0
21.35,110.52,0
21.34,110.67,0
21.52,100.33,0
21.52,100.47,0
21.53,100.62,0
21.56,101.33,0
21.56,101.48,0
21.56,101.62,0
21.59,107.52,0
21.58,107.95,0
21.57,108.09,0
21.54,109.24,0
21.53,109.38,0
21.52,109.53,0
21.52,109.67,0
21.51,109.81,0
21.51,109.96,0
21.5,110.1,0
21.49,110.24,0
21.49,110.39,0
21.48,110.53,0
21.47,110.67,0
21.47,110.82,0
21.46,110.96,0
21.44,111.25,0
21.65,100.18,0
21.65,100.32,0
21.66,100.47,0
21.66,100.61,0
21.67,100.75,0
21.68,101.19,0
21.69,101.33,0
21.69,101.47,0
21.7,101.62,0
21.7,101.76,0
21.73,107.23,0
21.72,107.38,0
21.72,107.52,0
21.72,107.66,0
21.71,107.81,0
21.71,107.95,0
21.71,108.09,0
21.7,108.24,0
21.7,108.38,0
21.69,108.53,0
21.68,108.81,0
21.68,108.96,0
21.67,109.1,0
21.67,109.25,0
21.66,109.39,0
21.65,109.68,0
21.65,109.82,0
21.64,109.96,0
21.63,110.11,0
21.63,110.25,0
21.62,110.39,0
21.61,110.54,0
21.61,110.68,0
21.6,110.83,0
